Event_COLOR_CODE,Event_COLOR_ROOT_CODE,Actor1Geo_CountryCode,Actor2Geo_CountryCode,ActionGeo_CountryCode,Event Code,RootEventCode,MainReason,Reason,AC1_lat,AC1_lon,AC2_lat,AC2_lon,AC_lat,AC_lon,Source Url,Source City,Destination City,Keyword
"144e57
",144e62,LE,SY,SY,182,18,"ASSAULT
","Physically assault, not specified below
",33.8667,35.5,36.6968,38.6523,36.6968,38.6523,--,"Shatila, Mont-Liban, Lebanon","Jund, Ar Raqqah, Syria",
"144e57
",144e66,LE,SY,SY,186,18,"ASSAULT
","Assassinate 
",33.8667,35.5,36.6968,38.6523,36.6968,38.6523,--,"Shatila, Mont-Liban, Lebanon","Jund, Ar Raqqah, Syria",
"bf5e75
",bf5e82,LE,SY,SY,193,19,"FIGHT
","Fight with small arms and light weapons
",33.8667,35.5,36.6968,38.6523,36.6968,38.6523,--,"Shatila, Mont-Liban, Lebanon","Jund, Ar Raqqah, Syria",
"bf5e75
",bf5e7f,SY,SY,SY,190,19,"FIGHT
","Use conventional military force, not specified below
",35,38,35,38,35,38,--,Syria,Syria,
"bf5e75
",bf5e7f,SY,SY,SY,190,19,"FIGHT
","Use conventional military force, not specified below
",35,38,35,38,35,38,--,Syria,Syria,
"5f2fc4
",5f2fcb,IZ,SY,SY,025,02,"APPEAL
","Appeal to yield
",34.1966,43.8739,35,38,35,38,--,"Samarra, Sala? ad Din, Iraq",Syria,
"c1f827
",c1f833,SY,SY,AS,084,08,"YIELD
","Return, release, not specified below
",36.2028,37.1586,36.2028,37.1586,-27,133,--,"Aleppo, ?alab, Syria","Aleppo, ?alab, Syria",
"c1f827
",c1f833,SY,AS,AS,084,08,"YIELD
","Return, release, not specified below
",36.2028,37.1586,-27,133,-27,133,--,"Aleppo, ?alab, Syria",Australia,
"c1f827
",c1f833,IZ,SY,AS,084,08,"YIELD
","Return, release, not specified below
",33,44,36.2028,37.1586,-27,133,--,Iraq,"Aleppo, ?alab, Syria",
"5f2fc4
",5f2fcb,IZ,SY,SY,025,02,"APPEAL
","Appeal to yield
",34.1966,43.8739,35,38,35,38,--,"Samarra, Sala? ad Din, Iraq",Syria,
"5f2fc4
",5f2fcb,IZ,SY,SY,025,02,"APPEAL
","Appeal to yield
",34.1966,43.8739,35,38,35,38,--,"Samarra, Sala? ad Din, Iraq",Syria,
"c1f827
",c1f833,SY,IZ,SY,0841,08,"YIELD
","Return, release person(s)
",33.5,36.3,33.3386,44.3939,33.5,36.3,--,"Damascus, Dimashq, Syria","Baghdad, Baghdad, Iraq",
"c1f827
",c1f833,IZ,IZ,IZ,0841,08,"YIELD
","Return, release person(s)
",33.3386,44.3939,33.3386,44.3939,33.3386,44.3939,--,"Baghdad, Baghdad, Iraq","Baghdad, Baghdad, Iraq",
"57144e
",571454,IS,IS,IS,141,14,"PROTEST
","Demonstrate or rally
",31.5,34.75,31.5,34.75,31.5,34.75,--,Israel,Israel,
"57144e
",571454,IS,IS,IS,141,14,"PROTEST
","Demonstrate or rally
",31.5,34.75,31.5,34.75,31.5,34.75,--,Israel,Israel,
"bf5e75
",bf5e7b,IZ,SY,SY,042,04,"CONSULT
","Make a visit
",33,44,35,38,35,38,--,Iraq,Syria,
"bf5e75
",bf5e7c,SY,IZ,SY,043,04,"CONSULT
","Host a visit
",35,38,33,44,35,38,--,Syria,Iraq,
"bf5e75
",bf5e7b,IZ,SY,SY,042,04,"CONSULT
","Make a visit
",33,44,35,38,35,38,--,Iraq,Syria,
"bf5e75
",bf5e7c,SY,IZ,SY,043,04,"CONSULT
","Host a visit
",35,38,33,44,35,38,--,Syria,Iraq,
"571d21
",571d27,SY,IZ,SY,060,06,"ENGAGE IN MATERIAL COOPERATION
","Engage in material cooperation, not specified below
",33.5,36.3,33,44,33.5,36.3,--,"Damascus, Dimashq, Syria",Iraq,
"571d21
",571d27,SY,IZ,IZ,060,06,"ENGAGE IN MATERIAL COOPERATION
","Engage in material cooperation, not specified below
",33.5,36.3,33,44,33,44,--,"Damascus, Dimashq, Syria",Iraq,
"17534d 
",175354,DA,DA,DA,070,07,"PROVIDE AID
","Provide aid, not specified below
",56,10,56,10,56,10,--,Denmark,Denmark,
"c1f827
",c1f833,WE,WE,WE,084,08,"YIELD
","Return, release, not specified below
",31.534,35.0981,31.534,35.0981,31.534,35.0981,--,"Unrwa, West Bank (general), West Bank","Unrwa, West Bank (general), West Bank",
"c03624
",c0362d,IZ,LE,IZ,090,09,"INVESTIGATE
","Investigate, not specified below
",33,44,33.8333,35.8333,33,44,--,Iraq,Lebanon,
"c03624
",c0362d,IZ,SY,IZ,090,09,"INVESTIGATE
","Investigate, not specified below
",33,44,35,38,33,44,--,Iraq,Syria,
"571d14
",571d1f,KU,KU,KU,173,17,"COERCE
","Arrest, detain, or charge with legal action 
",29.3697,47.9783,29.3697,47.9783,29.3697,47.9783,--,"Kuwait City, Kuwait (general), Kuwait","Kuwait City, Kuwait (general), Kuwait",
"571d14
",571d1a,SY,SY,SY,051,05,"ENGAGE IN DIPLOMATIC COOPERATION
","Praise or endorse
",33.5,36.3,33.5,36.3,33.5,36.3,--,"Damascus, Dimashq, Syria","Damascus, Dimashq, Syria",
"571d14
",571d1a,IZ,SY,SY,051,05,"ENGAGE IN DIPLOMATIC COOPERATION
","Praise or endorse
",33,44,33.5,36.3,33.5,36.3,--,Iraq,"Damascus, Dimashq, Syria",
"57144e
",571454,SY,SY,SY,141,14,"PROTEST
","Demonstrate or rally
",33.5,36.3,33.5,36.3,33.5,36.3,--,"Damascus, Dimashq, Syria","Damascus, Dimashq, Syria",
"57144e
",571454,IZ,SY,SY,141,14,"PROTEST
","Demonstrate or rally
",33,44,33.5,36.3,33.5,36.3,--,Iraq,"Damascus, Dimashq, Syria",
"57144e
",571454,SY,IZ,SY,141,14,"PROTEST
","Demonstrate or rally
",33.5,36.3,33,44,33.5,36.3,--,"Damascus, Dimashq, Syria",Iraq,
"571d14
",571d1a,SY,IZ,SY,051,05,"ENGAGE IN DIPLOMATIC COOPERATION
","Praise or endorse
",33.5,36.3,33,44,33.5,36.3,--,"Damascus, Dimashq, Syria",Iraq,
"571d14
",571d1a,SY,SY,SY,051,05,"ENGAGE IN DIPLOMATIC COOPERATION
","Praise or endorse
",33.5,36.3,33.5,36.3,33.5,36.3,--,"Damascus, Dimashq, Syria","Damascus, Dimashq, Syria",
