Event_COLOR_CODE,Actor1Geo_CountryCode,Actor2Geo_CountryCode,ActionGeo_CountryCode,Event Code,Reason,AC1_lat,AC1_lon,AC2_lat,AC2_lon,AC_lat,AC_lon,Source Url,Source City,Destination City,Keyword
"17534d 
",EG,EG,EG,073,"Provide humanitarian aid
",31.2565,32.2841,31.2565,32.2841,31.2565,32.2841,,"Port Said, Bur Said, Egypt","Port Said, Bur Said, Egypt",
"17534d 
",SY,SY,SY,073,"Provide humanitarian aid
",35,38,35,38,35,38,,Syria,Syria,
"bf5e75
",SY,SY,SY,190,"Use conventional military force, not specified below
",33.5,36.3,33.5,36.3,33.5,36.3,,"Damascus, Dimashq, Syria","Damascus, Dimashq, Syria",
"bf5e75
",IS,SY,SY,190,"Use conventional military force, not specified below
",31.5,34.75,33.5,36.3,33.5,36.3,,Israel,"Damascus, Dimashq, Syria",
"5e75bf
",JO,SY,SY,036,"Express intent to meet or negotiate
",31.95,35.9333,35,38,35,38,,"Amman, (JO11), Jordan",Syria,
"5e75bf
",SY,SY,SY,036,"Express intent to meet or negotiate
",35,38,35,38,35,38,,Syria,Syria,
"bf5e75
",SY,SY,SY,190,"Use conventional military force, not specified below
",33.5,36.3,33.5,36.3,33.5,36.3,,"Damascus, Dimashq, Syria","Damascus, Dimashq, Syria",
"bf5e75
",SY,SY,SY,190,"Use conventional military force, not specified below
",33.5,36.3,33.5,36.3,33.5,36.3,,"Damascus, Dimashq, Syria","Damascus, Dimashq, Syria",
"bf5e75
",IS,SY,SY,190,"Use conventional military force, not specified below
",31.5,34.75,33.5,36.3,33.5,36.3,,Israel,"Damascus, Dimashq, Syria",
"c1f827
",AG,AG,AG,0841,"Return, release person(s)
",28,3,28,3,28,3,,Algeria,Algeria,
"c1f827
",AG,AG,AG,0841,"Return, release person(s)
",28,3,28,3,28,3,,Algeria,Algeria,
"bf5e75
",SY,SY,SY,190,"Use conventional military force, not specified below
",33.5,36.3,33.5,36.3,33.5,36.3,,"Damascus, Dimashq, Syria","Damascus, Dimashq, Syria",
"e9c392
",AG,AG,AG,114,"Complain officially 
",28,3,28,3,28,3,,Algeria,Algeria,
"e9c392
",SY,LE,LE,114,"Complain officially 
",35,38,33.8719,35.5097,33.8719,35.5097,,Syria,"Beirut, Beyrouth, Lebanon",
"e9c392
",SY,LE,SY,114,"Complain officially 
",35,38,33.8719,35.5097,35,38,,Syria,"Beirut, Beyrouth, Lebanon",
"bf5e75
",SY,SY,SY,190,"Use conventional military force, not specified below
",33.5,36.3,33.5,36.3,33.5,36.3,,"Damascus, Dimashq, Syria","Damascus, Dimashq, Syria",
"bf5e75
",SY,IS,SY,190,"Use conventional military force, not specified below
",33.5,36.3,31.5,34.75,33.5,36.3,,"Damascus, Dimashq, Syria",Israel,
"bf5e75
",SY,IS,SY,190,"Use conventional military force, not specified below
",33.5,36.3,31.5,34.75,33.5,36.3,,"Damascus, Dimashq, Syria",Israel,
"5e75bf
",SY,JO,SY,036,"Express intent to meet or negotiate
",35,38,31.95,35.9333,35,38,,Syria,"Amman, (JO11), Jordan",
"5e75bf
",SY,SY,SY,036,"Express intent to meet or negotiate
",35,38,35,38,35,38,,Syria,Syria,
"bf5e75
",SY,SY,SY,190,"Use conventional military force, not specified below
",33.5,36.3,33.5,36.3,33.5,36.3,,"Damascus, Dimashq, Syria","Damascus, Dimashq, Syria",
"bf5e75
",SY,SY,SY,190,"Use conventional military force, not specified below
",33.5,36.3,33.5,36.3,33.5,36.3,,"Damascus, Dimashq, Syria","Damascus, Dimashq, Syria",
"571d14
",SY,SY,TU,051,"Praise or endorse
",35.9917,36.3942,35.9917,36.3942,39,35,,"Darkush, Idlib, Syria","Darkush, Idlib, Syria",
"571d14
",SY,SY,TU,051,"Praise or endorse
",33.5,36.3,33.5,36.3,39,35,,"Damascus, Dimashq, Syria","Damascus, Dimashq, Syria",
"571d14
",TU,SY,TU,051,"Praise or endorse
",39,35,35.9917,36.3942,39,35,,"Anatolia, Turkey (general), Turkey","Darkush, Idlib, Syria",
"571d14
",TU,SY,TU,051,"Praise or endorse
",39,35,33.5,36.3,39,35,,"Anatolia, Turkey (general), Turkey","Damascus, Dimashq, Syria",
"571d14
",TU,SY,TU,051,"Praise or endorse
",39,35,35,38,39,35,,"Anatolia, Turkey (general), Turkey",Syria,
"571d14
",SY,SY,TU,051,"Praise or endorse
",35,38,35,38,39,35,,Syria,Syria,
