Event_COLOR_CODE,Event_COLOR_ROOT_CODE,Actor1Geo_CountryCode,Actor2Geo_CountryCode,ActionGeo_CountryCode,Event Code,RootEventCode,MainReason,Reason,AC1_lat,AC1_lon,AC2_lat,AC2_lon,AC_lat,AC_lon,Source Url,Source City,Destination City,Keyword,GeoMove
"5f2fc4
",5f2fc6,TU,TU,TU,020,02,"APPEAL
","Appeal, not specified below
",39,35,39,35,39,35,"http://www.eubusiness.com/news-eu/syria-conflict-aid.qjg#1393143382
",Turkey,Turkey,,1
"bf5e75
",bf5e7c,EG,SY,LE,043,04,"CONSULT
","Host a visit
",27,30,35,38,33.8333,35.8333,"http://main.omanobserver.om/?p=59143
",Egypt,Syria,,1
"bf5e75
",bf5e7c,IZ,SY,LE,043,04,"CONSULT
","Host a visit
",33,44,35,38,33.8333,35.8333,"http://main.omanobserver.om/?p=59143
",Iraq,Syria,,1
"bf5e75
",bf5e7b,IR,SY,IR,042,04,"CONSULT
","Make a visit
",35.75,51.5148,35.3359,40.1408,35.75,51.5148,"http://english.farsnews.com/newstext.aspx?nn=13921204001299
","Tehran, Tehran, Iran","Deir Ezzor, Dayr az Zawr, Syria",,4
"bf5e75
",bf5e7b,IR,SY,IR,042,04,"CONSULT
","Make a visit
",35.75,51.5148,35,38,35.75,51.5148,"http://english.farsnews.com/newstext.aspx?nn=13921204001299&c=KLaT2NZNcQ7DuWPA5pTLs_Q80Lg5xjNqr7CWCHVycFE&mkt=en-us
","Tehran, Tehran, Iran",Syria,,1
"bf5e75
",bf5e7c,IZ,SY,LE,043,04,"CONSULT
","Host a visit
",33,44,35,38,33.8333,35.8333,"http://main.omanobserver.om/?p=59143
",Iraq,Syria,,1
"bf5e75
",bf5e7c,TU,SY,LE,043,04,"CONSULT
","Host a visit
",39,35,35,38,33.8333,35.8333,"http://main.omanobserver.om/?p=59143
",Turkey,Syria,,1
"bf5e75
",bf5e7c,JO,SY,LE,043,04,"CONSULT
","Host a visit
",31,36,35,38,33.8333,35.8333,"http://main.omanobserver.om/?p=59143
",Jordan,Syria,,1
"bf5e75
",bf5e7c,LE,SY,LE,043,04,"CONSULT
","Host a visit
",33.8333,35.8333,35,38,33.8333,35.8333,"http://main.omanobserver.om/?p=59143
",Lebanon,Syria,,1
"5e75bf
",5e75c8,LE,SY,SY,036,03,"EXPRESS INTENT TO COOPERATE
","Express intent to meet or negotiate
",33.6667,35.8333,33.5,36.3,33.5,36.3,"http://en.trend.az/news/un/2245341.html
","Beqaa, Béa, Lebanon","Damascus, Dimashq, Syria",,4
"bf5e75
",bf5e7c,LE,SY,LE,043,04,"CONSULT
","Host a visit
",33.8333,36,35,38,33.8333,36,"http://www.dailystar.com.lb/News/Lebanon-News/2014/Feb-24/248275-jolie-in-lebanon-to-meet-syrian-refugee-families.ashx
","Bekaa Valley, Béa, Lebanon",Syria,,1
"bf5e75
",bf5e7c,LE,SY,LE,043,04,"CONSULT
","Host a visit
",33.8333,35.8333,35,38,33.8333,35.8333,"http://main.omanobserver.om/?p=59143
",Lebanon,Syria,,1
"571d14
",571d1a,SY,SY,SY,051,05,"ENGAGE IN DIPLOMATIC COOPERATION
","Praise or endorse
",35,38,35,38,35,38,"http://www.nrc.no/?did=9690061
",Syria,Syria,,1
"571d14
",571d1a,SY,SY,SY,051,05,"ENGAGE IN DIPLOMATIC COOPERATION
","Praise or endorse
",35,38,35,38,35,38,"http://www.nrc.no/?did=9690061
",Syria,Syria,,1
"571d14
",571d1a,SY,SY,SY,051,05,"ENGAGE IN DIPLOMATIC COOPERATION
","Praise or endorse
",33.5,36.3,33.5,36.3,33.5,36.3,"http://sana.sy/eng/21/2014/02/23/529676.htm
","Damascus, Dimashq, Syria","Damascus, Dimashq, Syria",,4
"571d14
",571d1a,SY,IS,SY,051,05,"ENGAGE IN DIPLOMATIC COOPERATION
","Praise or endorse
",33.5,36.3,31.5,34.75,33.5,36.3,"http://sana.sy/eng/21/2014/02/23/529676.htm
","Damascus, Dimashq, Syria",Israel,,1
"5f2fc4
",5f2fc6,SY,SY,SY,020,02,"APPEAL
","Appeal, not specified below
",35,38,35,38,35,38,"http://www.thenational.ae/uae/relief-aid-for-200-000-syrians-sets-sail-from-uae
",Syria,Syria,,1
"5f2fc4
",5f2fc9,SY,SY,SY,0231,02,"APPEAL
","Appeal for economic aid
",35,38,35,38,35,38,"http://www.thenational.ae/uae/relief-aid-for-200-000-syrians-sets-sail-from-uae
",Syria,Syria,,1
"17534d 
",175354,SY,SY,SY,070,07,"PROVIDE AID
","Provide aid, not specified below
",35,38,35,38,35,38,"http://www.kuna.net.kw/ArticleDetails.aspx?id=2362878&language=en
",Syria,Syria,,1
"c1f827
",c1f835,US,US,US,0862,08,"YIELD
","Receive inspectors
",38,-97,38,-97,38,-97,"http://www.huffingtonpost.com/2014/02/22/impact-news-round-up_n_4830509.html?utm_hp_ref=impact
",United States,United States,,1
"bf5e75
",bf5e7b,SY,EG,LE,042,04,"CONSULT
","Make a visit
",35,38,27,30,33.8333,35.8333,"http://main.omanobserver.om/?p=59143
",Syria,Egypt,,1
"bf5e75
",bf5e7b,SY,IZ,LE,042,04,"CONSULT
","Make a visit
",35,38,33,44,33.8333,35.8333,"http://main.omanobserver.om/?p=59143
",Syria,Iraq,,1
"c1f827
",c1f82f,SY,EG,SY,080,08,"YIELD
","Yield, not specified below 
",35,38,27,30,35,38,"http://main.omanobserver.om/?p=59143
",Syria,Egypt,,1
"c1f827
",c1f82f,SY,IZ,SY,080,08,"YIELD
","Yield, not specified below 
",35,38,33,44,35,38,"http://main.omanobserver.om/?p=59143
",Syria,Iraq,,1
"bf5e75
",bf5e7b,SY,IZ,LE,042,04,"CONSULT
","Make a visit
",35,38,33,44,33.8333,35.8333,"http://main.omanobserver.om/?p=59143
",Syria,Iraq,,1
"bf5e75
",bf5e7b,SY,TU,LE,042,04,"CONSULT
","Make a visit
",35,38,39,35,33.8333,35.8333,"http://main.omanobserver.om/?p=59143
",Syria,Turkey,,1
"c1f827
",c1f82f,SY,IZ,SY,080,08,"YIELD
","Yield, not specified below 
",35,38,33,44,35,38,"http://main.omanobserver.om/?p=59143
",Syria,Iraq,,1
"c1f827
",c1f82f,SY,TU,SY,080,08,"YIELD
","Yield, not specified below 
",35,38,39,35,35,38,"http://main.omanobserver.om/?p=59143
",Syria,Turkey,,1
"bf5e75
",bf5e7b,SY,JO,LE,042,04,"CONSULT
","Make a visit
",35,38,31,36,33.8333,35.8333,"http://main.omanobserver.om/?p=59143
",Syria,Jordan,,1
"bf5e75
",bf5e7b,SY,LE,LE,042,04,"CONSULT
","Make a visit
",35,38,33.8333,35.8333,33.8333,35.8333,"http://main.omanobserver.om/?p=59143
",Syria,Lebanon,,1
"c1f827
",c1f82f,SY,JO,SY,080,08,"YIELD
","Yield, not specified below 
",35,38,31,36,35,38,"http://main.omanobserver.om/?p=59143
",Syria,Jordan,,1
"c1f827
",c1f82f,SY,LE,SY,080,08,"YIELD
","Yield, not specified below 
",35,38,33.8333,35.8333,35,38,"http://main.omanobserver.om/?p=59143
",Syria,Lebanon,,1
"ff4800
",ff4801,SY,LE,LE,010,01,"MAKE PUBLIC STATEMENT
","Make statement, not specified below
",33.5,36.3,33.6667,35.8333,33.6667,35.8333,"http://en.trend.az/news/un/2245341.html
","Damascus, Dimashq, Syria","Beqaa, Béa, Lebanon",,5
"5f2fc4
",5f2fc9,SY,LE,SY,0233,02,"APPEAL
","Appeal for humanitarian aid
",33.8,36.4333,34.1794,36.4208,33.8,36.4333,"http://www.alaskadispatch.com/article/20140223/assad-offensive-near-homs-sends-syrians-fleeing-lebanon
","Qalamoun, Rif Dimashq, Syria","Arsal, Mohafazat Baalbek-Hermel, Lebanon",,4
"5f2fc4
",5f2fc9,US,LE,SY,0233,02,"APPEAL
","Appeal for humanitarian aid
",61.385,-152.268,34.1794,36.4208,33.8,36.4333,"http://www.alaskadispatch.com/article/20140223/assad-offensive-near-homs-sends-syrians-fleeing-lebanon
","Alaska, United States","Arsal, Mohafazat Baalbek-Hermel, Lebanon",,4
"5e75bf
",5e75c8,SY,SY,SY,036,03,"EXPRESS INTENT TO COOPERATE
","Express intent to meet or negotiate
",33.5,36.3,33.5,36.3,33.5,36.3,"http://www.worldbulletin.net/haberler/129469/hollywood-actress-visits-syrian-refugees-in-lebanon
","Damascus, Dimashq, Syria","Damascus, Dimashq, Syria",,4
"5e75bf
",5e75c8,SY,SY,LE,036,03,"EXPRESS INTENT TO COOPERATE
","Express intent to meet or negotiate
",33.5,36.3,33.5,36.3,33.6667,35.8333,"http://www.worldbulletin.net/haberler/129469/hollywood-actress-visits-syrian-refugees-in-lebanon
","Damascus, Dimashq, Syria","Damascus, Dimashq, Syria",,4
"5e75bf
",5e75c8,SY,LE,SY,036,03,"EXPRESS INTENT TO COOPERATE
","Express intent to meet or negotiate
",33.5,36.3,33.6667,35.8333,33.5,36.3,"http://en.trend.az/news/un/2245341.html
","Damascus, Dimashq, Syria","Beqaa, Béa, Lebanon",,5
"bf5e75
",bf5e7b,SY,LE,LE,042,04,"CONSULT
","Make a visit
",35,38,33.8333,36,33.8333,36,"http://www.dailystar.com.lb/News/Lebanon-News/2014/Feb-24/248275-jolie-in-lebanon-to-meet-syrian-refugee-families.ashx
",Syria,"Bekaa Valley, Béa, Lebanon",,4
"bf5e75
",bf5e7b,SY,LE,LE,042,04,"CONSULT
","Make a visit
",35,38,33.8333,35.8333,33.8333,35.8333,"http://main.omanobserver.om/?p=59143
",Syria,Lebanon,,1
"17534d 
",175354,SY,LE,SY,070,07,"PROVIDE AID
","Provide aid, not specified below
",35,38,33.6667,35.8333,35,38,"http://www.kuna.net.kw/ArticleDetails.aspx?id=2362878&language=en
",Syria,"Bekaa, Béa, Lebanon",,5
"c1f827
",c1f82f,SY,LE,SY,080,08,"YIELD
","Yield, not specified below 
",35,38,33.8333,35.8333,35,38,"http://main.omanobserver.om/?p=59143
",Syria,Lebanon,,1
"bf5e75
",bf5e81,US,US,US,192,19,"FIGHT
","Occupy territory
",38,-97,38,-97,38,-97,"http://www.huffingtonpost.com/2014/02/22/impact-news-round-up_n_4830509.html?utm_hp_ref=impact
",United States,United States,,1
"bf5e75
",bf5e7b,SY,JO,LE,042,04,"CONSULT
","Make a visit
",35,38,31,36,33.8333,35.8333,"http://main.omanobserver.om/?p=59143
",Syria,Jordan,,1
"bf5e75
",bf5e7b,SY,TU,LE,042,04,"CONSULT
","Make a visit
",35,38,39,35,33.8333,35.8333,"http://main.omanobserver.om/?p=59143
",Syria,Turkey,,1
"c1f827
",c1f82f,SY,JO,SY,080,08,"YIELD
","Yield, not specified below 
",35,38,31,36,35,38,"http://main.omanobserver.om/?p=59143
",Syria,Jordan,,1
"c1f827
",c1f82f,SY,TU,SY,080,08,"YIELD
","Yield, not specified below 
",35,38,39,35,35,38,"http://main.omanobserver.om/?p=59143
",Syria,Turkey,,1
"bf5e75
",bf5e7c,JO,SY,LE,043,04,"CONSULT
","Host a visit
",31,36,35,38,33.8333,35.8333,"http://main.omanobserver.om/?p=59143
",Jordan,Syria,,1
"bf5e75
",bf5e7c,TU,SY,LE,043,04,"CONSULT
","Host a visit
",39,35,35,38,33.8333,35.8333,"http://main.omanobserver.om/?p=59143
",Turkey,Syria,,1
