Root Event Code,Root Event Count,Root Event Name,Urls,Event Code Name,Event Code Count
04,51,"CONSULT
",['--'],"Host a visit
",22
19,18,"FIGHT
",['--'],"Use conventional military force, not specified below
",14
04,51,"CONSULT
",['--'],"Make a visit
",25
08,20,"YIELD
",['--'],"Yield, not specified below 
",1
01,13,"MAKE PUBLIC STATEMENT
",['--'],"Make pessimistic comment
",1
07,14,"PROVIDE AID
",['--'],"Grant asylum
",6
01,13,"MAKE PUBLIC STATEMENT
",['--'],"Make statement, not specified below
",11
01,13,"MAKE PUBLIC STATEMENT
",['--'],"Engage in symbolic act
",1
18,2,"ASSAULT
",['--'],"Physically assault, not specified below
",2
08,20,"YIELD
",['--'],"Return, release person(s)
",14
02,11,"APPEAL
",['--'],"Appeal for humanitarian aid
",3
19,18,"FIGHT
",['--'],"Occupy territory
",4
08,20,"YIELD
",['--'],"Accede to requests or demands for political reform not specified below
",2
04,51,"CONSULT
",['--'],"Consult, not specified below
",4
08,20,"YIELD
",['--'],"Return, release, not specified below
",3
02,11,"APPEAL
",['--'],"Appeal, not specified below
",6
14,4,"PROTEST
",['--'],"Demonstrate or rally
",4
06,5,"ENGAGE IN MATERIAL COOPERATION
",['--'],"Engage in material cooperation, not specified below
",5
07,14,"PROVIDE AID
",['--'],"Provide economic aid
",2
12,2,"REJECT
",['--'],"Reject, not specified below
",2
07,14,"PROVIDE AID
",['--'],"Provide humanitarian aid
",6
03,8,"EXPRESS INTENT TO COOPERATE
",['--'],"Express intent to provide humanitarian aid
",8
02,11,"APPEAL
",['--'],"Appeal to others to meet or negotiate
",1
09,1,"INVESTIGATE
",['--'],"Investigate, not specified below
",1
05,4,"ENGAGE IN DIPLOMATIC COOPERATION
",['--'],"Praise or endorse
",4
02,11,"APPEAL
",['--'],"Appeal to yield
",1
