Event_COLOR_CODE,Actor1Geo_CountryCode,Actor2Geo_CountryCode,ActionGeo_CountryCode,Event Code,Reason,AC1_lat,AC1_lon,AC2_lat,AC2_lon,AC_lat,AC_lon,Source Url,Source City,Destination City,Keyword,Dubplicate Count
"ff4800
",IZ,IZ,LE,010,"Make statement, not specified below
",33.3386,44.3939,33.3386,44.3939,33.8719,35.5097,,"Bagdad, Baghdad, Iraq","Bagdad, Baghdad, Iraq",,
"571d14
",SY,SY,SY,173,"Arrest, detain, or charge with legal action 
",35,38,35,38,35,38,,Syria,Syria,,
"144e57
",LE,SY,SY,182,"Physically assault, not specified below
",33.8667,35.5,36.6968,38.6523,36.6968,38.6523,,"Shatila, Mont-Liban, Lebanon","Jund, Ar Raqqah, Syria",,
"144e57
",LE,SY,SY,186,"Assassinate 
",33.8667,35.5,36.6968,38.6523,36.6968,38.6523,,"Shatila, Mont-Liban, Lebanon","Jund, Ar Raqqah, Syria",,
"bf5e75
",LE,SY,SY,193,"Fight with small arms and light weapons
",33.8667,35.5,36.6968,38.6523,36.6968,38.6523,,"Shatila, Mont-Liban, Lebanon","Jund, Ar Raqqah, Syria",,
"bf5e75
",SY,SY,SY,190,"Use conventional military force, not specified below
",35,38,35,38,35,38,,Syria,Syria,,
"5f2fc4
",IZ,SY,SY,025,"Appeal to yield
",34.1966,43.8739,35,38,35,38,,"Samarra, Sala? ad Din, Iraq",Syria,,
"c1f827
",SY,SY,AS,084,"Return, release, not specified below
",36.2028,37.1586,36.2028,37.1586,-27,133,,"Aleppo, ?alab, Syria","Aleppo, ?alab, Syria",,
"c1f827
",SY,AS,AS,084,"Return, release, not specified below
",36.2028,37.1586,-27,133,-27,133,,"Aleppo, ?alab, Syria",Australia,,
"c1f827
",IZ,SY,AS,084,"Return, release, not specified below
",33,44,36.2028,37.1586,-27,133,,Iraq,"Aleppo, ?alab, Syria",,
"5f2fc4
",IZ,IZ,IZ,0231,"Appeal for economic aid
",33,44,33,44,33,44,,Iraq,Iraq,,
"bf5e75
",IZ,SY,IZ,043,"Host a visit
",33.3386,44.3939,33.5,36.3,33.3386,44.3939,,"Baghdad, Baghdad, Iraq","Damascus, Dimashq, Syria",,
"c1f827
",IZ,SY,SY,080,"Yield, not specified below 
",33.3386,44.3939,33.5,36.3,33.5,36.3,,"Baghdad, Baghdad, Iraq","Damascus, Dimashq, Syria",,
"c1f827
",SY,IZ,SY,0841,"Return, release person(s)
",33.5,36.3,33.3386,44.3939,33.5,36.3,,"Damascus, Dimashq, Syria","Baghdad, Baghdad, Iraq",,
"c1f827
",IZ,IZ,IZ,0841,"Return, release person(s)
",33.3386,44.3939,33.3386,44.3939,33.3386,44.3939,,"Baghdad, Baghdad, Iraq","Baghdad, Baghdad, Iraq",,
"bf5e75
",SY,IZ,IZ,042,"Make a visit
",33.5,36.3,33.3386,44.3939,33.3386,44.3939,,"Damascus, Dimashq, Syria","Baghdad, Baghdad, Iraq",,
"bf5e75
",SY,SY,SY,192,"Occupy territory
",35,38,35,38,35,38,,Syria,Syria,,
"57144e
",IS,IS,IS,141,"Demonstrate or rally
",31.5,34.75,31.5,34.75,31.5,34.75,,Israel,Israel,,
"5f2fc4
",SY,SY,LE,0233,"Appeal for humanitarian aid
",33.5,36.3,33.5,36.3,33.8122,36.025,,"Damascus, Dimashq, Syria","Damascus, Dimashq, Syria",,
"5f2fc4
",SY,LE,SY,0233,"Appeal for humanitarian aid
",33.5,36.3,33.8122,36.025,33.5,36.3,,"Damascus, Dimashq, Syria","Qusaya, Béa, Lebanon",,
"5f2fc4
",LE,SY,LE,0233,"Appeal for humanitarian aid
",33.8122,36.025,33.5,36.3,33.8122,36.025,,"Qusaya, Béa, Lebanon","Damascus, Dimashq, Syria",,
"bf5e75
",IZ,SY,SY,042,"Make a visit
",33,44,35,38,35,38,,Iraq,Syria,,
"bf5e75
",SY,IZ,SY,043,"Host a visit
",35,38,33,44,35,38,,Syria,Iraq,,
"571d14
",SY,SY,SY,051,"Praise or endorse
",33.5,36.3,33.5717,36.4027,33.5,36.3,,"Damascus, Dimashq, Syria","Douma, Rif Dimashq, Syria",,
"571d14
",SY,SY,SY,051,"Praise or endorse
",33.5717,36.4027,33.5,36.3,33.5717,36.4027,,"Douma, Rif Dimashq, Syria","Damascus, Dimashq, Syria",,
"bf5e75
",SY,SY,SY,043,"Host a visit
",33.5,36.3,33.5,36.3,33.5,36.3,,"Damascus, Dimashq, Syria","Damascus, Dimashq, Syria",,
"17534d 
",SY,SY,SY,071,"Provide economic aid
",33.5,36.3,33.5,36.3,33.5,36.3,,"Damascus, Dimashq, Syria","Damascus, Dimashq, Syria",,
"bf5e75
",SY,SY,SY,042,"Make a visit
",33.5,36.3,33.5,36.3,33.5,36.3,,"Damascus, Dimashq, Syria","Damascus, Dimashq, Syria",,
"571d21
",WE,WE,SY,060,"Engage in material cooperation, not specified below
",31.534,35.0981,31.534,35.0981,35,38,,"Unrwa, West Bank (general), West Bank","Unrwa, West Bank (general), West Bank",,
"571d21
",SY,WE,WE,060,"Engage in material cooperation, not specified below
",35,38,31.534,35.0981,31.534,35.0981,,Syria,"Unrwa, West Bank (general), West Bank",,
"17534d 
",WE,WE,LE,070,"Provide aid, not specified below
",31.534,35.0981,31.534,35.0981,33.8333,35.8333,,"Unrwa, West Bank (general), West Bank","Unrwa, West Bank (general), West Bank",,
"17534d 
",SY,WE,WE,070,"Provide aid, not specified below
",35,38,31.534,35.0981,31.534,35.0981,,Syria,"Unrwa, West Bank (general), West Bank",,
"571d21
",SY,IZ,SY,060,"Engage in material cooperation, not specified below
",33.5,36.3,33,44,33.5,36.3,,"Damascus, Dimashq, Syria",Iraq,,
"571d21
",SY,IZ,IZ,060,"Engage in material cooperation, not specified below
",33.5,36.3,33,44,33,44,,"Damascus, Dimashq, Syria",Iraq,,
"17534d 
",DA,DA,DA,070,"Provide aid, not specified below
",56,10,56,10,56,10,,Denmark,Denmark,,
"c1f827
",WE,WE,WE,084,"Return, release, not specified below
",31.534,35.0981,31.534,35.0981,31.534,35.0981,,"Unrwa, West Bank (general), West Bank","Unrwa, West Bank (general), West Bank",,
"c03624
",IZ,LE,IZ,090,"Investigate, not specified below
",33,44,33.8333,35.8333,33,44,,Iraq,Lebanon,,
"c03624
",IZ,SY,IZ,090,"Investigate, not specified below
",33,44,35,38,33,44,,Iraq,Syria,,
"571d14
",KU,KU,KU,173,"Arrest, detain, or charge with legal action 
",29.3697,47.9783,29.3697,47.9783,29.3697,47.9783,,"Kuwait City, Kuwait (general), Kuwait","Kuwait City, Kuwait (general), Kuwait",,
"571d14
",SY,SY,SY,051,"Praise or endorse
",33.5,36.3,33.5,36.3,33.5,36.3,,"Damascus, Dimashq, Syria","Damascus, Dimashq, Syria",,
"571d14
",IZ,SY,SY,051,"Praise or endorse
",33,44,33.5,36.3,33.5,36.3,,Iraq,"Damascus, Dimashq, Syria",,
"57144e
",SY,SY,SY,141,"Demonstrate or rally
",33.5,36.3,33.5,36.3,33.5,36.3,,"Damascus, Dimashq, Syria","Damascus, Dimashq, Syria",,
"57144e
",IZ,SY,SY,141,"Demonstrate or rally
",33,44,33.5,36.3,33.5,36.3,,Iraq,"Damascus, Dimashq, Syria",,
"57144e
",SY,IZ,SY,141,"Demonstrate or rally
",33.5,36.3,33,44,33.5,36.3,,"Damascus, Dimashq, Syria",Iraq,,
"571d14
",SY,IZ,SY,051,"Praise or endorse
",33.5,36.3,33,44,33.5,36.3,,"Damascus, Dimashq, Syria",Iraq,,
"17534d 
",SY,SY,SY,070,"Provide aid, not specified below
",33.5,36.3,33.5,36.3,33.5,36.3,,"Damascus, Dimashq, Syria","Damascus, Dimashq, Syria",,
"571d14
",SY,SY,SY,051,"Praise or endorse
",36.2028,37.1586,36.2028,37.1586,36.2028,37.1586,,"Aleppo, ?alab, Syria","Aleppo, ?alab, Syria",,
