Event_COLOR_CODE,Actor1Geo_CountryCode,Actor2Geo_CountryCode,ActionGeo_CountryCode,Event Code,Reason,AC1_lat,AC1_lon,AC2_lat,AC2_lon,AC_lat,AC_lon,Source Url,Source City,Destination City,Keyword,Dubplicate Count
"ff4800
",JO,SY,SY,012,"Make pessimistic comment
",31.95,35.9333,33.5,36.3,33.5,36.3,,"Amman, (JO11), Jordan","Damascus, Dimashq, Syria",,
"571d14
",JO,SY,SY,172,"Impose administrative sanctions, not specified below
",31.95,35.9333,33.5,36.3,33.5,36.3,,"Amman, (JO11), Jordan","Damascus, Dimashq, Syria",,
"5f2fc4
",SY,SY,SY,0233,"Appeal for humanitarian aid
",33.5,36.3,33.5,36.3,33.5,36.3,,"Damascus, Dimashq, Syria","Damascus, Dimashq, Syria",,
"5f2fc4
",SY,LE,LE,0233,"Appeal for humanitarian aid
",33.5,36.3,33.8719,35.5097,33.8719,35.5097,,"Damascus, Dimashq, Syria","Beirut, Beyrouth, Lebanon",,
"5f2fc4
",US,LE,LE,0233,"Appeal for humanitarian aid
",38.8951,-77.0364,33.8719,35.5097,33.8719,35.5097,,"Washington, District of Columbia, United States","Beirut, Beyrouth, Lebanon",,
"e9c392
",SY,SY,SY,110,"Disapprove, not specified below
",35,38,35,38,35,38,,Syria,Syria,,
"bf5e75
",SY,SY,SY,042,"Make a visit
",33.5,36.3,33.5,36.3,33.5,36.3,,"Damascus, Dimashq, Syria","Damascus, Dimashq, Syria",,
"bf5e75
",SY,SY,SY,043,"Host a visit
",33.5,36.3,33.5,36.3,33.5,36.3,,"Damascus, Dimashq, Syria","Damascus, Dimashq, Syria",,
"1d1831
",SY,SY,SY,150,"Demonstrate military or police power, not specified below
",33.5,36.3,33.5,36.3,33.5,36.3,,"Damascus, Dimashq, Syria","Damascus, Dimashq, Syria",,
"e9c392
",SY,SY,SY,110,"Disapprove, not specified below
",33.5,36.3,33.5,36.3,33.5,36.3,,"Damascus, Dimashq, Syria","Damascus, Dimashq, Syria",,
"bf5e75
",SY,TU,TU,042,"Make a visit
",35,38,41.0186,28.9647,41.0186,28.9647,,Syria,"Istanbul, Istanbul, Turkey",,
"bf5e75
",SY,TU,TU,190,"Use conventional military force, not specified below
",33.5,36.3,39.9272,32.8644,39.9272,32.8644,,"Damascus, Dimashq, Syria","Ankara, Ankara, Turkey",,
"bf5e75
",TU,SY,TU,043,"Host a visit
",41.0186,28.9647,35,38,41.0186,28.9647,,"Istanbul, Istanbul, Turkey",Syria,,
"5e75bf
",SY,SY,SY,036,"Express intent to meet or negotiate
",35,38,35,38,35,38,,Syria,Syria,,
"c1f827
",US,US,US,080,"Yield, not specified below 
",38.8951,-77.0364,38.8951,-77.0364,38.8951,-77.0364,,"Washington, District of Columbia, United States","Washington, District of Columbia, United States",,
"c1f827
",SY,SY,SY,080,"Yield, not specified below 
",35,38,35,38,35,38,,Syria,Syria,,
"bf5e75
",US,US,US,190,"Use conventional military force, not specified below
",38.8951,-77.0364,38.8951,-77.0364,38.8951,-77.0364,,"Washington, District of Columbia, United States","Washington, District of Columbia, United States",,
"bf5e75
",SY,SY,SY,190,"Use conventional military force, not specified below
",35,38,35,38,35,38,,Syria,Syria,,
"ff4800
",LY,LY,YM,012,"Make pessimistic comment
",25,17,25,17,13.1287,45.3807,,Libya,Libya,,
"ff4800
",LY,LY,LY,012,"Make pessimistic comment
",25,17,25,17,25,17,,Libya,Libya,,
"ff4800
",LY,,LY,012,"Make pessimistic comment
",25,17,0,0,25,17,,Libya,,,
"bf5e75
",SY,TU,TU,042,"Make a visit
",35,38,36.2066,36.1572,36.2066,36.1572,,Syria,"Hatay, Hatay, Turkey",,
"bf5e75
",TU,TU,TU,043,"Host a visit
",36.2066,36.1572,36.2066,36.1572,36.2066,36.1572,,"Hatay, Hatay, Turkey","Hatay, Hatay, Turkey",,
"57144e
",TU,SY,TU,141,"Demonstrate or rally
",36.2066,36.1572,33.5,36.3,36.2066,36.1572,,"Hatay, Hatay, Turkey","Damascus, Dimashq, Syria",,
"57144e
",TU,SY,TU,141,"Demonstrate or rally
",36.2066,36.1572,35,38,36.2066,36.1572,,"Hatay, Hatay, Turkey",Syria,,
"57144e
",JO,TU,SY,141,"Demonstrate or rally
",31.95,35.9333,36.2066,36.1572,33.5,36.3,,"Amman, (JO11), Jordan","Hatay, Hatay, Turkey",,
"57144e
",JO,TU,TU,141,"Demonstrate or rally
",31,36,36.2066,36.1572,36.2066,36.1572,,Jordan,"Hatay, Hatay, Turkey",,
"57144e
",SY,JO,SY,141,"Demonstrate or rally
",35,38,31,36,35,38,,Syria,Jordan,,
"bf5e75
",SY,SY,SY,043,"Host a visit
",35,38,35,38,35,38,,Syria,Syria,,
"5e75bf
",,SY,SY,033,"Express intent to provide matyerial aid, not specified below
",0,0,35,38,35,38,,,Syria,,
"571d21
",,SY,SY,060,"Engage in material cooperation, not specified below
",0,0,35,38,35,38,,,Syria,,
"17534d 
",SY,SY,SY,075,"Grant asylum
",33.2854,35.69,33.2854,35.69,33.2854,35.69,,"Ramtha, Al Qunaytirah, Syria","Ramtha, Al Qunaytirah, Syria",,
"17534d 
",JO,SY,SY,075,"Grant asylum
",32.3429,36.208,33.2854,35.69,33.2854,35.69,,"Mafraq, Jordan (general), Jordan","Ramtha, Al Qunaytirah, Syria",,
"17534d 
",JO,JO,JO,075,"Grant asylum
",32.3429,36.208,32.3429,36.208,32.3429,36.208,,"Mafraq, Jordan (general), Jordan","Mafraq, Jordan (general), Jordan",,
"17534d 
",JO,JO,JO,075,"Grant asylum
",32.3429,36.208,31.95,35.9333,32.3429,36.208,,"Mafraq, Jordan (general), Jordan","Amman, (JO11), Jordan",,
"17534d 
",JO,SY,SY,075,"Grant asylum
",32.3429,36.208,35,38,35,38,,"Mafraq, Jordan (general), Jordan",Syria,,
"17534d 
",SY,SY,SY,075,"Grant asylum
",35,38,35,38,35,38,,Syria,Syria,,
