Event_COLOR_CODE,Actor1Geo_CountryCode,Actor2Geo_CountryCode,ActionGeo_CountryCode,Event Code,Reason,AC1_lat,AC1_lon,AC2_lat,AC2_lon,AC_lat,AC_lon,Source Url,Source City,Destination City,Keyword,Dubplicate Count
"bf5e75
",TU,SY,SY,042,"Make a visit
",36.7161,37.115,36.2028,37.1586,36.2028,37.1586,http://www.huffingtonpost.com/jen-nedeau/syrian-refugees-in-turkey_b_5546567.html,"Kilis, Kilis, Turkey","Aleppo, ?alab, Syria",,
"bf5e75
",SY,TU,SY,043,"Host a visit
",36.2028,37.1586,36.7161,37.115,36.2028,37.1586,http://www.huffingtonpost.com/jen-nedeau/syrian-refugees-in-turkey_b_5546567.html,"Aleppo, ?alab, Syria","Kilis, Kilis, Turkey",,
"bf5e75
",SY,SY,SY,043,"Host a visit
",33.5,36.3,33.5,36.3,33.5,36.3,http://www.gulf-times.com/qatar/178/details/398735/qc-water-project-offers-lifeline-to-syrian-refugees-in-lebanon,"Damascus, Dimashq, Syria","Damascus, Dimashq, Syria",,
"bf5e75
",LE,SY,SY,043,"Host a visit
",34.1794,36.4208,33.5,36.3,33.5,36.3,http://www.gulf-times.com/qatar/178/details/398735/qc-water-project-offers-lifeline-to-syrian-refugees-in-lebanon,"Arsal, Mohafazat Baalbek-Hermel, Lebanon","Damascus, Dimashq, Syria",,
"17534d 
",SY,SY,SY,075,"Grant asylum
",33.5,36.3,33.5,36.3,33.5,36.3,http://www.gulf-times.com/qatar/178/details/398735/qc-water-project-offers-lifeline-to-syrian-refugees-in-lebanon,"Damascus, Dimashq, Syria","Damascus, Dimashq, Syria",,
"571d14
",IT,SY,SY,051,"Praise or endorse
",42.8333,12.8333,35,38,35,38,http://www.independent.co.uk/news/uk/politics/david-camerons-hand-forced-over-commitment-to-foreign-aid-9577190.html,Italy,Syria,,
"571d14
",SP,SY,SY,051,"Praise or endorse
",40,-4,35,38,35,38,http://www.independent.co.uk/news/uk/politics/david-camerons-hand-forced-over-commitment-to-foreign-aid-9577190.html,Spain,Syria,,
"571d14
",FR,SY,SY,051,"Praise or endorse
",46,2,35,38,35,38,http://www.independent.co.uk/news/uk/politics/david-camerons-hand-forced-over-commitment-to-foreign-aid-9577190.html,France,Syria,,
"17534d 
",UK,SY,SY,075,"Grant asylum
",54,-2,35,38,35,38,http://untribune.com/22-countries-agreed-resettle-syrian-refugees/,United Kingdom,Syria,,
"bf5e75
",SY,SY,SY,042,"Make a visit
",36.3694,37.4427,36.3694,37.4427,36.3694,37.4427,http://www.dailymail.co.uk/news/article-2675841/Australian-worker-heading-relief-effort-worst-humanitarian-crisis-history-bringing-Syrian-refugee-crisis-control.html?ITO=1490&ns_campaign=1490,"Azraq, ?alab, Syria","Azraq, ?alab, Syria",,
"571d14
",JO,JO,JO,051,"Praise or endorse
",31.95,35.9333,31.95,35.9333,31.95,35.9333,http://petra.gov.jo/Public_News/Nws_NewsDetails.aspx?Site_Id=1&lang=2&NewsID=156902&CatID=-1,"Amman, (JO11), Jordan","Amman, (JO11), Jordan",,
"571d14
",JO,SY,JO,051,"Praise or endorse
",31.95,35.9333,35,38,31.95,35.9333,http://petra.gov.jo/Public_News/Nws_NewsDetails.aspx?Site_Id=1&lang=2&NewsID=156902&CatID=-1,"Amman, (JO11), Jordan",Syria,,
"571d14
",JO,JO,JO,051,"Praise or endorse
",31,36,31,36,31,36,http://en.ammonnews.net/article.aspx?articleno=25871,Jordan,Jordan,,
"571d14
",JO,SY,JO,051,"Praise or endorse
",31,36,35,38,31,36,http://en.ammonnews.net/article.aspx?articleno=25871,Jordan,Syria,,
