January 2012,,February 2012,,March 2012,,April 2012,,May 2012,,June 2012,,July 2012,,Auguest 2012,,September 2012,,October 2012,,November 2012,,December 2012,
Syria,71,United Arab Emirates,1,Bahrain,1,Germany,4,Syria,221,Jordan,31,Syria,787,Greece,19,Sweden,1,Russia,30,Syria,421,Syria,639
Lebanon,26,Syria,209,Syria,494,Syria,569,Jordan,32,Syria,375,Turkey,176,Bulgaria,1,Syria,869,Jordan,82,Jordan,40,Kuwait,12
Qatar,1,Jordan,60,Lebanon,88,Kuwait,4,United States,20,Lebanon,38,Yemen,1,Lebanon,102,Jordan,220,Syria,407,Iraq,28,Jordan,87
Turkey,9,Libya,8,Turkey,212,Lebanon,66,Lebanon,47,Libya,6,Libya,2,Syria,785,Switzerland,5,Lebanon,70,Turkey,134,United States,27
Luxembourg,2,Turkey,39,Madagascar,1,Turkey,311,Turkey,68,Turkey,130,Saudi Arabia,8,Iraq,51,United States,43,Turkey,164,Mali,2,Russia,81
Israel,12,Russia,3,Iraq,8,Jordan,61,Iraq,9,Iraq,64,Italy,2,Jordan,324,Turkey,149,Mali,6,Mauritania,4,Lebanon,118
Egypt,1,Iraq,16,Egypt,5,Japan,1,Australia,1,United States,22,Jordan,212,United States,34,Lebanon,78,Djibouti,1,Libya,8,United Kingdom,7
United States,3,Morocco,2,Somalia,3,Venezuela,2,Russia,4,Israel,7,Iraq,91,Bahrain,5,Northern Mariana Islands,3,Iraq,25,Lebanon,53,Turkey,78
Saudi Arabia,2,Lebanon,34,Jordan,25,United States,19,Northern Mariana Islands,1,Australia,1,France,12,Iran,14,Iraq,77,United States,13,Iran,5,Qatar,3
Democratic Republic of the Congo,1,Egypt,4,Northern Mariana Islands,1,Russia,3,Greece,1,Russia,3,Lebanon,115,Turkey,224,Iran,27,Bulgaria,2,Israel,20,Armenia,9
Iraq,6,Israel,2,United States,18,Iran,20,Qatar,1,United Kingdom,1,United States,27,Australia,9,Israel,14,United Kingdom,4,France,13,Iraq,18
Northern Mariana Islands,1,United States,20,China,1,West Bank,5,Libya,1,New Zealand,3,Sweden,3,Germany,11,Ireland,1,Luxembourg,3,Morocco,6,Cuba,1
,,Somalia,1,Canada,1,China,3,Kuwait,1,South Africa,2,Northern Mariana Islands,2,United Kingdom,17,South Korea,3,Norway,3,Tunisia,2,Israel,108
,,France,1,Libya,4,Libya,3,Sudan,2,Luxembourg,2,Qatar,29,Saudi Arabia,18,Australia,5,Kuwait,10,Kuwait,9,Egypt,7
,,Saudi Arabia,1,Netherlands,1,France,11,Gaza Strip,2,Afghanistan,2,Puerto Rico,1,Morocco,9,France,4,Belgium,2,United States,20,Algeria,6
,,Germany,2,Russia,4,Somalia,2,Cyprus,1,Namibia,1,Cyprus,6,Israel,11,Russia,32,Denmark,1,United Kingdom,22,Tunisia,19
,,United Kingdom,5,France,1,Iraq,2,Tunisia,2,Micronesia,1,Israel,11,Cyprus,1,Spain,2,Italy,6,Qatar,3,China,2
,,Georgia,1,Israel,14,Australia,1,Japan,1,Saudi Arabia,1,Kuwait,1,Qatar,4,Morocco,5,Libya,2,Saudi Arabia,4,Denmark,2
,,Yemen,1,Armenia,1,Northern Mariana Islands,2,,,United Arab Emirates,1,Iran,3,Kuwait,3,Mauritania,1,Saudi Arabia,4,Russia,37,Mali,7
,,West Bank,1,Saudi Arabia,3,Tunisia,1,,,Kuwait,5,North Korea,1,Libya,1,Italy,7,Somalia,2,Somalia,7,Venezuela,1
,,Iran,2,Italy,1,United Kingdom,4,,,,,Egypt,5,Albania,1,United Kingdom,2,West Bank,2,Switzerland,7,France,5
,,Norway,2,Kuwait,4,Israel,2,,,,,United Kingdom,12,France,27,Greece,4,Chile,2,"Vietnam, Democratic Republic of",1,Afghanistan,1
,,,,Qatar,4,United Arab Emirates,1,,,,,China,1,Serbia,1,Cyprus,1,Egypt,19,Finland,1,Ethiopia,3
,,,,"Vietnam, Democratic Republic of",1,,,,,,,United Arab Emirates,5,Canada,11,Austria,3,Thailand,3,Algeria,3,Canada,3
,,,,Yemen,1,,,,,,,Belgium,10,Italy,6,Bahrain,3,Armenia,1,Northern Mariana Islands,1,Libya,7
,,,,Czech Republic,1,,,,,,,West Bank,1,South Africa,1,Germany,6,,2,Georgia,2,Iran,13
,,,,,,,,,,,,Germany,4,West Bank,1,Sudan,1,Greece,2,Bahrain,2,Indonesia,1
,,,,,,,,,,,,Turkmenistan,4,Russia,3,Libya,9,Iran,7,Afghanistan,1,Ecuador,1
,,,,,,,,,,,,Romania,1,China,17,Egypt,8,Canada,5,Germany,1,Pakistan,9
,,,,,,,,,,,,Canada,2,Ecuador,2,Kuwait,8,Germany,13,,,Saudi Arabia,2
,,,,,,,,,,,,Gaza Strip,2,Norway,1,Micronesia,1,Qatar,1,,,Switzerland,9
,,,,,,,,,,,,Russia,1,Bosnia-Herzegovina,1,Afghanistan,6,Japan,1,,,West Bank,4
,,,,,,,,,,,,Algeria,1,Somalia,1,Venezuela,1,France,3,,,Italy,3
,,,,,,,,,,,,Sudan,1,Algeria,2,China,1,Morocco,2,,,Greece,2
,,,,,,,,,,,,Greece,3,Japan,3,Japan,4,Australia,1,,,Georgia,2
,,,,,,,,,,,,,,Tunisia,13,Brazil,1,Israel,3,,,Germany,4
,,,,,,,,,,,,,,India,1,Saudi Arabia,2,,,,,Belgium,4
,,,,,,,,,,,,,,Ireland,2,Somalia,7,,,,,Cyprus,2
,,,,,,,,,,,,,,Yemen,2,Mali,1,,,,,Vatican City,1
,,,,,,,,,,,,,,Pakistan,1,Burkina Faso,1,,,,,Bahrain,3
,,,,,,,,,,,,,,United Arab Emirates,1,Bulgaria,1,,,,,,
,,,,,,,,,,,,,,,,New Zealand,10,,,,,,
,,,,,,,,,,,,,,,,Chile,1,,,,,,
,,,,,,,,,,,,,,,,Djibouti,1,,,,,,
,,,,,,,,,,,,,,,,Gaza Strip,2,,,,,,
