January 2012,,February 2012,,March 2012,,May 2012,,June 2012,,July 2012,,Auguest 2012,,September 2012,,October 2012,,November 2012,,December 2012,
Syria,73,United Arab Emirates,1,Bahrain,1,Syria,648,Syria,239,Jordan,34,Syria,928,Syria,969,Syria,917,Russia,30,Syria,496,Syria,689
Lebanon,34,Syria,240,Syria,521,Kuwait,3,Jordan,36,Syria,431,Turkey,140,Bulgaria,1,Jordan,195,Jordan,59,Iraq,26,Jordan,63
Qatar,1,Libya,3,Lebanon,78,Lebanon,72,Lebanon,41,Lebanon,43,Libya,3,Lebanon,102,United States,35,Syria,520,Jordan,48,Turkey,52
Turkey,9,Turkey,17,Iraq,15,Turkey,241,United States,13,Libya,2,Jordan,148,Jordan,229,Turkey,142,Turkey,121,Turkey,108,United States,22
Israel,9,Jordan,62,Turkey,203,Libya,9,Turkey,66,Turkey,115,Saudi Arabia,4,United States,29,Lebanon,97,Sudan,4,Mali,2,Russia,77
Egypt,1,Russia,3,Madagascar,1,Japan,1,Israel,2,United States,22,Italy,1,Bahrain,4,Northern Mariana Islands,2,Lebanon,58,Mauritania,4,Lebanon,100
United States,2,Iraq,15,Bulgaria,1,France,7,Nepal,1,Iraq,25,Iraq,85,Turkey,197,Iran,30,Mali,4,Lebanon,36,United Kingdom,7
Democratic Republic of the Congo,1,Lebanon,33,Egypt,5,Venezuela,2,Iraq,3,Israel,5,France,10,Greece,12,Russia,32,Djibouti,1,Libya,5,Iraq,28
Iraq,3,Egypt,6,Somalia,2,United States,10,Russia,2,Russia,1,Tunisia,2,Iran,7,South Korea,2,Iraq,14,Iran,5,Kuwait,12
Afghanistan,1,China,1,Jordan,22,Iran,22,Libya,1,Qatar,3,Lebanon,105,Iraq,55,Morocco,5,Algeria,1,Israel,20,Cuba,2
Jordan,1,United States,23,United States,10,Canada,4,Greece,1,Yemen,1,United States,23,Germany,8,Libya,10,Niger,1,Kuwait,8,Israel,133
,,Somalia,1,China,2,Jordan,51,Qatar,1,Saudi Arabia,4,Sweden,2,Russia,8,Iraq,88,United States,8,Tunisia,3,Qatar,1
,,United Kingdom,5,Canada,1,West Bank,1,Cyprus,1,South Africa,2,Qatar,10,Australia,7,Israel,12,United Kingdom,2,Russia,32,Egypt,8
,,Israel,2,Libya,4,China,2,Denmark,1,Afghanistan,2,Puerto Rico,1,Norway,1,United Kingdom,3,Czechoslovakia,1,France,7,Algeria,6
,,Armenia,1,Netherlands,1,Russia,2,Kuwait,1,Namibia,1,Israel,18,United Kingdom,7,Cyprus,1,Luxembourg,1,Morocco,5,Tunisia,22
,,Tunisia,1,Russia,3,Somalia,2,Sudan,2,Hungary,1,Cyprus,3,Saudi Arabia,15,Austria,1,Austria,1,Italy,1,China,4
,,Iran,1,France,4,Australia,1,Gaza Strip,2,United Arab Emirates,1,North Korea,1,Israel,21,Bahrain,1,Greece,3,Qatar,4,Armenia,6
,,,,Israel,14,Tunisia,2,France,1,Bahrain,2,United Kingdom,11,Morocco,5,France,3,Finland,1,Egypt,1,Denmark,2
,,,,Armenia,1,Iraq,11,Tunisia,1,Kuwait,1,China,1,Kuwait,4,Sudan,1,Denmark,1,United Arab Emirates,2,Mali,6
,,,,Saudi Arabia,2,Northern Mariana Islands,1,,,,,Egypt,7,West Bank,2,Italy,7,Saudi Arabia,8,United Kingdom,9,Venezuela,1
,,,,Italy,2,United Kingdom,2,,,,,Norway,1,Qatar,1,Kuwait,2,Italy,4,Saudi Arabia,3,Afghanistan,1
,,,,"Vietnam, Democratic Republic of",1,Israel,2,,,,,Chile,1,France,19,Afghanistan,7,Israel,6,Switzerland,3,France,9
,,,,Yemen,2,United Arab Emirates,1,,,,,United Arab Emirates,6,Italy,5,Venezuela,1,Somalia,2,Somalia,7,Ethiopia,3
,,,,Kuwait,1,,,,,,,Belgium,5,Micronesia,1,China,5,West Bank,1,United States,9,Iran,19
,,,,Czech Republic,1,,,,,,,Iran,1,Canada,6,Japan,1,Chile,3,"Vietnam, Democratic Republic of",1,Gaza Strip,2
,,,,,,,,,,,,West Bank,1,South Africa,1,Brazil,1,Kuwait,6,Finland,1,Libya,4
,,,,,,,,,,,,Germany,4,Ecuador,2,Saudi Arabia,3,Libya,1,Algeria,2,Ecuador,1
,,,,,,,,,,,,Turkmenistan,7,Bosnia-Herzegovina,2,Somalia,7,Egypt,13,Northern Mariana Islands,1,Pakistan,5
,,,,,,,,,,,,Romania,2,Japan,5,Egypt,5,Thailand,1,Georgia,2,Saudi Arabia,2
,,,,,,,,,,,,Algeria,3,Somalia,1,Greece,2,Armenia,2,Bahrain,2,Switzerland,7
,,,,,,,,,,,,Russia,2,Algeria,1,Mali,1,,2,Afghanistan,1,Norway,1
,,,,,,,,,,,,Sudan,1,China,3,Burkina Faso,1,China,2,Oman,1,West Bank,4
,,,,,,,,,,,,Greece,6,Tunisia,4,New Zealand,4,Iran,7,Germany,2,Greece,2
,,,,,,,,,,,,,,India,2,Switzerland,3,Germany,7,,,Georgia,2
,,,,,,,,,,,,,,Ireland,2,Spain,1,Bulgaria,1,,,Belgium,4
,,,,,,,,,,,,,,Yemen,1,Djibouti,1,Japan,1,,,Cyprus,1
,,,,,,,,,,,,,,Pakistan,1,Gaza Strip,2,France,3,,,Vatican City,1
,,,,,,,,,,,,,,United Arab Emirates,1,,,Morocco,1,,,Bahrain,1
,,,,,,,,,,,,,,,,,,Australia,1,,,Canada,1
,,,,,,,,,,,,,,,,,,Chad,1,,,,
