Actor1Geo_CountryCode,Actor2Geo_CountryCode,ActionGeo_CountryCode,Event Code,Reason,AC1_lat,AC1_lon,AC2_lat,AC2_lon,AC_lat,AC_lon,Source Url,Source City,Keyword
GR,GR,GR,075,"Grant asylum
",39,22,39,22,39,22,http://greece.greekreporter.com/2014/01/01/syrian-refugees-having-a-hard-time-in-greece/,Greece,Greece,
UK,SY,SY,020,"Appeal, not specified below
",51.5,-0.116667,35,38,35,38,http://www.expressandstar.com/comment/peter-rhodes/2014/01/01/time-to-do-the-decent-thing/,"London, London, City of, United Kingdom",Syria,"suffering,suckered,help,freedom,Nazi,asylum,seekers,"
UK,SY,SY,051,"Praise or endorse
",51.5,-0.116667,35,38,35,38,http://www.expressandstar.com/comment/peter-rhodes/2014/01/01/time-to-do-the-decent-thing/,"London, London, City of, United Kingdom",Syria,"suffering,suckered,help,freedom,Nazi,asylum,seekers,"
UK,SY,SY,120,"Reject, not specified below
",51.5,-0.116667,35,38,35,38,http://www.expressandstar.com/comment/peter-rhodes/2014/01/01/time-to-do-the-decent-thing/,"London, London, City of, United Kingdom",Syria,"suffering,suckered,help,freedom,Nazi,asylum,seekers,"
LE,SY,LE,195,"Employ aerial weapons
",33.8719,35.5097,35,38,33.8719,35.5097,http://www.aa.com.tr/en/news/269492--refugee-killed-3-injured-in-syrian-air-strike-on-lebanese-border-town,"Beirut, Beyrouth, Lebanon",Syria,"others,town,refugee,injuring,border,others,"
LE,SY,SY,195,"Employ aerial weapons
",33.8719,35.5097,35,38,35,38,http://www.aa.com.tr/en/news/269492--refugee-killed-3-injured-in-syrian-air-strike-on-lebanese-border-town,"Beirut, Beyrouth, Lebanon",Syria,"others,town,refugee,injuring,border,others,"
SY,SY,SY,013,"Make optimistic comment
",35,38,35,38,35,38,http://www.carbonated.tv/news/syrians-hoping-war-ends-and-they-find-peace-in-2014,Syria,Syria,"town,town,refugee,suffering,"
IT,IT,IT,075,"Grant asylum
",45.4667,9.2,45.4667,9.2,45.4667,9.2,http://www.unhcr.org/52c3e69c9.html,"Milan, Lombardia, Italy","Milan, Lombardia, Italy","refugee,Syria,refugee,facilities,established,help,Syria,enormous,Syria,refugee,refugee,refugee,established,billion,activities,Syria,billion,refugee,flee,sanitation,aid,sanitation,facilities,aid,Syria,aid,agency,Syria,help,"
SY,IT,IT,075,"Grant asylum
",36.2028,37.1586,45.4667,9.2,45.4667,9.2,http://www.unhcr.org/52c3e69c9.html,"Aleppo, ?alab, Syria","Milan, Lombardia, Italy","refugee,Syria,refugee,facilities,established,help,Syria,enormous,Syria,refugee,refugee,refugee,established,billion,activities,Syria,billion,refugee,flee,sanitation,aid,sanitation,facilities,aid,Syria,aid,agency,Syria,help,"
LE,LE,LE,195,"Employ aerial weapons
",34.1794,36.4208,34.1794,36.4208,34.1794,36.4208,http://www.worldbulletin.net/?aType=haber&ArticleID=126064,"Arsal, Mohafazat Baalbek-Hermel, Lebanon","Arsal, Mohafazat Baalbek-Hermel, Lebanon","town,refugee,injuring,border,others,"
SY,LE,LE,195,"Employ aerial weapons
",35,38,34.1794,36.4208,34.1794,36.4208,http://www.aa.com.tr/en/news/269492--refugee-killed-3-injured-in-syrian-air-strike-on-lebanese-border-town,Syria,"Arsal, Mohafazat Baalbek-Hermel, Lebanon","others,town,refugee,injuring,border,others,"
SY,UK,UK,120,"Reject, not specified below
",35,38,51.5,-0.116667,51.5,-0.116667,http://www.expressandstar.com/comment/peter-rhodes/2014/01/01/time-to-do-the-decent-thing/,Syria,"London, London, City of, United Kingdom","suffering,suckered,help,freedom,Nazi,asylum,seekers,"
SY,UK,SY,120,"Reject, not specified below
",35,38,51.5,-0.116667,35,38,http://www.expressandstar.com/comment/peter-rhodes/2014/01/01/time-to-do-the-decent-thing/,Syria,"London, London, City of, United Kingdom","suffering,suckered,help,freedom,Nazi,asylum,seekers,"
