"Country or territory of asylum or residence","Country or territory of origin","Year","Refugees<sup>*</sup>","Refugees assisted by UNHCR","Total refugees and people in refugee-like situations<sup>**</sup>","Total refugees and people in refugee-like situations assisted by UNHCR"
"Argentina","Syrian Arab Rep.","2013","159","4","159","4"
"Armenia","Syrian Arab Rep.","2013","490","490","11090","4106"
"Australia","Syrian Arab Rep.","2013","265","0","265","0"
"Austria","Syrian Arab Rep.","2013","2748","0","2748","0"
"Azerbaijan","Syrian Arab Rep.","2013","9","9","9","9"
"Barbados","Syrian Arab Rep.","2013","1","1","1","1"
"Belarus","Syrian Arab Rep.","2013","35","35","35","35"
"Belgium","Syrian Arab Rep.","2013","1987","0","1987","0"
"Benin","Syrian Arab Rep.","2013","1","1","1","1"
"Bolivia (Plurinational State of)","Syrian Arab Rep.","2013","3","3","3","3"
"Bosnia and Herzegovina","Syrian Arab Rep.","2013","48","48","48","48"
"Brazil","Syrian Arab Rep.","2013","333","162","333","162"
"Bulgaria","Syrian Arab Rep.","2013","2104","2011","2104","2011"
"Cameroon","Syrian Arab Rep.","2013","1","1","1","1"
"Canada","Syrian Arab Rep.","2013","592","0","592","0"
"Chad","Syrian Arab Rep.","2013","15","15","15","15"
"Chile","Syrian Arab Rep.","2013","5","0","5","0"
"Colombia","Syrian Arab Rep.","2013","2","1","2","1"
"Costa Rica","Syrian Arab Rep.","2013","1","1","1","1"
"Côte d'Ivoire","Syrian Arab Rep.","2013","2","2","2","2"
"Croatia","Syrian Arab Rep.","2013","22","22","22","22"
"Cuba","Syrian Arab Rep.","2013","24","24","24","24"
"Curaçao","Syrian Arab Rep.","2013","1","1","1","1"
"Cyprus","Syrian Arab Rep.","2013","316","0","316","0"
"Czech Rep.","Syrian Arab Rep.","2013","149","","149","0"
"Denmark","Syrian Arab Rep.","2013","3271","0","3271","0"
"Dominican Rep.","Syrian Arab Rep.","2013","3","3","3","3"
"Ecuador","Syrian Arab Rep.","2013","11","11","11","11"
"Egypt","Syrian Arab Rep.","2013","131659","131659","131659","131659"
"Estonia","Syrian Arab Rep.","2013","2","0","2","0"
"Finland","Syrian Arab Rep.","2013","352","0","352","0"
"France","Syrian Arab Rep.","2013","1474","0","1474","0"
"Georgia","Syrian Arab Rep.","2013","25","25","516","516"
"Germany","Syrian Arab Rep.","2013","21253","0","21253","0"
"Ghana","Syrian Arab Rep.","2013","1","1","1","1"
"Greece","Syrian Arab Rep.","2013","195","0","195","0"
"Hungary","Syrian Arab Rep.","2013","141","0","141","0"
"Iceland","Syrian Arab Rep.","2013","7","0","7","0"
