2011 January,,2011 February,,2011 March,,2011 April,,2011 May,,2011 Jun,,2011 July,,2011 Auguest,,2011 September,,2011 October,,2011 November,,2011 December,,2012 January,,2012 February,,2012 March,,2012 April,,2012 May,,2012 Jun,,2012 July,, 2012 Auguest,,2012 September,,2012 October,,2012 November,,2012 December,,2013 January,,2013 February,,2013 March,,2013 April,,2013 May,,2013 Jun,,2013 July,,2013 Auguest,,2013 September,,2013 October,,2013 November,,2013 December,,2014 January,,2013 February,,2014 March,,2014 April,,2014 May,,2014 Jun,,2014 May,,2014 Jun,,2014 July,,2014 Auguest,,2014 September,,2014 October,,2014 November,,2014 December,,2015 January,,2015 February,,2015 March,,2015 April,,2015 May,,2015 June,,2015 July,,2015 Auguest,,2015 September,,2015 October,,2015 November,,2015 December,
Syria,9,Syria,12,Syria,28,Lebanon,1,Syria,90,Syria,561,Syria,90,Syria,179,Jordan,15,Northern Mariana Islands,4,Syria,74,Jordan,2,Syria,71,United Arab Emirates,1,Bahrain,1,Germany,4,Syria,221,Jordan,31,Syria,787,Greece,19,Sweden,1,Russia,30,Syria,421,Syria,639,Egypt,49,Syria,415,Lebanon,133,Algeria,6,Iran,23,Poland,1,Ethiopia,1,Syria,657,Syria,1235,Ireland,2,Syria,920,Jordan,92,Greece,5,Bulgaria,21,China,6,Syria,664,Bulgaria,8,Syria,742,Bulgaria,8,Syria,742,Syria,617,Jordan,69,Syria,838,Cyprus,8,Syria,558,Syria,901,Syria,651,Jordan,89,Syria,841,Turkey,161,Jordan,77,Syria,869,Syria,748,Syria,833,Iraq,159,Syria,2090,Syria,7996,Syria,4972
Australia,3,Iraq,3,Libya,1,Syria,4,Israel,6,Turkey,411,Lebanon,19,Lebanon,16,Syria,86,Syria,66,Lebanon,27,Syria,68,Lebanon,26,Syria,209,Syria,494,Syria,569,Jordan,32,Syria,375,Turkey,176,Bulgaria,1,Syria,869,Jordan,82,Jordan,40,Kuwait,12,Syria,786,Iran,24,Kuwait,7,Syria,222,Syria,172,Tunisia,2,Iraq,21,Tunisia,2,Greece,7,Syria,732,United Kingdom,15,Syria,752,Syria,686,Lebanon,179,Israel,38,Bulgaria,9,Syria,734,Jordan,154,Syria,734,Jordan,154,Lebanon,124,Venezuela,1,Jordan,82,Syria,684,Lebanon,98,Bulgaria,4,Egypt,47,Syria,585,Kuwait,43,Syria,1044,Syria,569,United States,56,United States,55,Lebanon,93,Syria,5678,Turkey,476,United States,5157,Canada,1552
Iraq,1,Denmark,1,Israel,2,Libya,1,Turkey,11,Lebanon,52,Turkey,15,Russia,1,Turkey,12,United States,5,Northern Mariana Islands,4,Lebanon,19,Qatar,1,Jordan,60,Lebanon,88,Kuwait,4,United States,20,Lebanon,38,Yemen,1,Lebanon,102,Jordan,220,Syria,407,Iraq,28,Jordan,87,Algeria,34,Iraq,9,Syria,468,Jordan,89,Tunisia,4,Lebanon,131,Syria,621,Lebanon,72,Australia,7,Australia,11,France,27,Turkey,99,Lebanon,107,Germany,5,Syria,621,Jordan,188,Jordan,299,Lebanon,239,Jordan,299,Lebanon,239,Jordan,115,Syria,629,Lebanon,258,Jordan,75,Turkey,243,Egypt,66,United States,22,United Arab Emirates,6,Lebanon,160,Tuvalu,1,Burundi,1,Lebanon,152,Lebanon,117,Jordan,117,Turkey,798,Iraq,75,United Kingdom,397,France,232
Israel,2,West Bank,1,Gaza Strip,2,Turkey,1,Pakistan,1,Tunisia,8,Israel,16,United Kingdom,6,Lebanon,7,Lebanon,11,Iraq,2,United States,5,Turkey,9,Libya,8,Turkey,212,Lebanon,66,Lebanon,47,Libya,6,Libya,2,Syria,785,Switzerland,5,Lebanon,70,Turkey,134,United States,27,Turkey,77,Jordan,95,Jordan,140,Tunisia,4,Libya,12,Syria,453,Jordan,182,Jordan,86,Hungary,2,Iran,37,Jordan,156,Afghanistan,7,Iraq,37,Morocco,4,Lebanon,151,Lebanon,158,France,4,Saudi Arabia,20,France,4,Saudi Arabia,20,Israel,62,United States,53,Russia,4,Lebanon,207,Germany,6,Turkey,98,United Kingdom,15,Iraq,26,Turkey,212,Sweden,6,Lebanon,163,Germany,14,Jordan,133,Germany,56,Hungary,213,Greece,91,Israel,61,United States,1969
,,Kuwait,1,Kuwait,1,United States,2,Egypt,5,Libya,9,Tunisia,1,United States,12,United Kingdom,2,Turkey,25,Morocco,2,Turkey,4,Luxembourg,2,Turkey,39,Madagascar,1,Turkey,311,Turkey,68,Turkey,130,Saudi Arabia,8,Iraq,51,United States,43,Turkey,164,Mali,2,Russia,81,Jordan,152,Japan,2,Turkey,98,Azerbaijan,3,Jordan,52,Iraq,21,Lebanon,157,Egypt,24,United States,172,China,1,Lebanon,223,Denmark,2,United Kingdom,72,Syria,712,Bulgaria,3,West Bank,3,Lebanon,210,Iran,5,Lebanon,210,Iran,5,Turkey,95,Lebanon,297,Turkey,374,France,11,Israel,26,United Kingdom,30,Turkey,123,Japan,10,United Kingdom,30,Egypt,26,Iraq,43,Malta,1,Turkey,237,Israel,45,Germany,500,United States,345,Canada,1025,Mexico,17
,,,,,,,,Lebanon,52,Israel,11,Kuwait,2,Eritrea,4,Austria,5,Jordan,3,West Bank,1,France,3,Israel,12,Russia,3,Iraq,8,Jordan,61,Iraq,9,Iraq,64,Italy,2,Jordan,324,Turkey,149,Mali,6,Mauritania,4,Lebanon,118,Lebanon,115,Kuwait,21,Iran,10,Turkey,22,Russia,35,Jordan,165,United States,57,Turkey,48,Iraq,81,Bulgaria,45,Turkey,129,Lebanon,225,Armenia,4,Iraq,27,Jordan,81,United Arab Emirates,4,Egypt,13,United States,37,Egypt,13,United States,37,United States,9,Turkey,125,Iraq,77,United States,72,Australia,2,Italy,13,Cyprus,1,Kuwait,15,Ethiopia,1,United States,43,Turkey,103,Turkey,349,Iraq,36,Sweden,7,Greece,231,Egypt,62,Lebanon,230,Germany,99
,,,,,,,,Jordan,2,Egypt,5,Jordan,4,Israel,17,United States,3,Israel,2,Jordan,2,Thailand,1,Egypt,1,Iraq,16,Egypt,5,Japan,1,Australia,1,United States,22,Jordan,212,United States,34,Lebanon,78,Djibouti,1,Libya,8,United Kingdom,7,Tunisia,15,Lebanon,100,Yemen,3,United States,8,China,5,Turkey,46,Kuwait,8,Libya,6,Lebanon,232,Iraq,23,Australia,2,Switzerland,8,Turkey,79,United States,47,Azerbaijan,1,United States,22,Israel,91,Russia,4,Israel,91,Russia,4,Thailand,1,Kuwait,6,Uruguay,3,Iraq,65,Egypt,8,Jordan,102,Italy,28,Lebanon,82,Iraq,49,Israel,189,United Kingdom,16,Greece,20,Sudan,1,Iran,7,Iceland,56,Germany,109,Antigua and Barbuda,2,Norway,5
,,,,,,,,United States,3,France,4,United States,4,Turkey,27,Israel,1,Libya,3,Turkey,2,Tunisia,2,United States,3,Morocco,2,Somalia,3,Venezuela,2,Russia,4,Israel,7,Iraq,91,Bahrain,5,Northern Mariana Islands,3,Iraq,25,Lebanon,53,Turkey,78,Switzerland,6,Tunisia,9,Italy,2,Iraq,21,United States,16,Iran,12,Turkey,94,United States,34,Italy,44,Jordan,120,Kuwait,17,United Kingdom,43,Kuwait,40,Qatar,14,Turkey,52,Ukraine,5,Qatar,3,Libya,3,Qatar,3,Libya,3,Egypt,44,Israel,25,United States,96,Turkey,254,United Kingdom,19,Lebanon,171,Malta,4,Turkey,192,Jordan,127,Azerbaijan,8,United States,24,Eritrea,18,United Kingdom,18,Iraq,22,Eritrea,20,Somalia,2,Jordan,295,Turkey,337
,,,,,,,,Iraq,2,Russia,2,Spain,1,Iraq,5,Iraq,1,,,,,Iraq,2,Saudi Arabia,2,Lebanon,34,Jordan,25,United States,19,Northern Mariana Islands,1,Australia,1,France,12,Iran,14,Iraq,77,United States,13,Iran,5,Qatar,3,United States,34,West Bank,1,Libya,12,Libya,15,Egypt,2,Israel,25,Russia,21,Greece,3,Malta,4,Japan,4,Israel,70,Yemen,5,Sweden,5,Israel,61,United States,19,Turkey,65,Turkey,37,Israel,25,Turkey,37,Israel,25,Canada,19,Micronesia,2,Italy,14,Israel,13,Sweden,1,Iraq,52,Sweden,13,Qatar,9,Egypt,38,Kuwait,34,Norway,6,Jordan,77,Denmark,2,United States,27,Macedonia,23,Russia,58,Australia,140,Jordan,326
