2011 January,,2011 February,,2011 March,,2011 April,,2011 May,,2011 June,,2011 July,,2011 Auguest,,2011 September,,2011 October ,,2011 November,,2011 December,,2012 January,,2012 February,,2012 March,,2012 April,,2012 May,,2012 June,,2012 July,,2012 Auguest,,2012 September,,2012 October ,,2012 November,,2012 December,,2013 January,,2013 February,,2013 March,,2013 April,,2013 May,,2013 June,,2013 July,,2013 Auguest,,2013 September,,2013 October ,,2013 November,,2013 December,,2014 January,,2014 February,,2014 March,,2014 April,,2014 May,,2014 June,,2014 July,,2014 Auguest,,2014 September,,2014 October,,2014 November,,2015 January,,2015 February,,2015 March,,2015 April,,May-15,,2015 July,,2015 Auguest,,2015 September,,2015 October,,2015 November,,2015 December,,
Syria,10,Syria,8,Syria,27,Lebanon,2,Syria,101,Syria,601,Syria,93,Syria,196,Syria,89,Iran,2,Syria,137,Jordan,2,Syria,73,United Arab Emirates,1,Bahrain,1,Syria,648,Syria,239,Jordan,34,Syria,928,Syria,969,Syria,917,Russia,30,Syria,496,Syria,689,Egypt,37,Syria,473,Syria,563,Algeria,8,Iran,24,Poland,2,Syria,722,Syria,695,Syria,1506,Syria,979,Syria,1019,Syria,888,Greece,2,Bulgaria,11,China,5,Syria,744,Syria,872,Syria,908,Syria,669,Syria,782,Australia,3,Cyprus,7,Syria,704,Syria,855,Jordan,97,Syria,1021,Turkey,126,Syria,671,Syria,907,Syria,1016,Syria,7326,Syria,2641,Syria,5903,Syria,5903,
Australia,1,Iraq,6,Iraq,1,Iraq,2,Israel,9,Lebanon,32,Turkey,13,Lebanon,10,Jordan,4,Syria,78,Turkey,12,Syria,68,Lebanon,34,Syria,240,Syria,521,Kuwait,3,Jordan,36,Syria,431,Turkey,140,Bulgaria,1,Jordan,195,Jordan,59,Iraq,26,Jordan,63,Syria,834,Iran,23,Israel,42,Syria,251,Syria,213,Mauritania,2,Jordan,148,Tunisia,2,Greece,5,Iran,39,United Kingdom,18,Jordan,90,Syria,824,Lebanon,159,Syria,654,Lebanon,140,Bulgaria,4,Malaysia,1,Jordan,79,United States,41,Syria,582,Syria,930,Lebanon,69,United States,24,Syria,690,Kuwait,37,Syria,1128,Jordan,84,United States,31,Egypt,12,Turkey,577,Turkey,372,France,174,France,174,
Iraq,2,Denmark,1,Libya,1,Libya,1,Iraq,5,Iraq,5,Lebanon,12,United Kingdom,5,Iraq,5,Lebanon,12,Lebanon,52,Lebanon,31,Qatar,1,Libya,3,Lebanon,78,Lebanon,72,Lebanon,41,Lebanon,43,Libya,3,Lebanon,102,United States,35,Syria,520,Jordan,48,Turkey,52,Algeria,25,Russia,11,Lebanon,71,Tunisia,4,Turkey,51,Lebanon,125,Lebanon,136,Jordan,93,Hungary,2,Bulgaria,37,France,22,Lebanon,174,Israel,54,Syria,780,Lebanon,132,West Bank,3,Jordan,236,Uganda,1,Lebanon,130,Lebanon,202,Lebanon,74,Lebanon,171,Turkey,198,Egypt,20,United Arab Emirates,4,Lebanon,129,Kuwait,19,Burundi,1,Turkey,176,Iraq,31,Hungary,176,Iraq,101,Canada,1242,Canada,1242,
Israel,2,West Bank,1,Israel,3,Syria,3,Turkey,6,Tunisia,9,Israel,15,Israel,22,Lebanon,9,Northern Marchiana Islands,1,Northern Marchiana Islands,3,Turkey,2,Turkey,9,Turkey,17,Iraq,15,Turkey,241,United States,13,Libya,2,Jordan,148,Jordan,229,Turkey,142,Turkey,121,Turkey,108,United States,22,Israel,94,Iraq,10,Jordan,105,Azerbaijan,4,Tunisia,4,Iraq,15,United States,38,Egypt,24,United States,167,Jordan,107,Lebanon,214,Afghanistan,5,Iraq,43,United States,39,Israel,33,United Arab Emirates,5,France,2,Jordan,106,Israel,75,Jordan,48,Israel,4,France,11,Germany,4,United Kingdom,16,Japan,6,Turkey,134,Egypt,27,Lebanon,120,Jordan,115,Jordan,73,Germany,423,Greece,62,Jordan,336,Jordan,336,
,,Lebanon,1,Gaza Strip,1,United States,1,Pakistan,1,Turkey,393,Tunisia,1,Turkey,22,United Kingdom,2,United States,1,Libya,5,France,3,Israel,9,Jordan,62,Turkey,203,Libya,9,Turkey,66,Turkey,115,Saudi Arabia,4,United States,29,Lebanon,97,Sudan,4,Mali,2,Russia,77,Jordan,150,Israel,40,Iraq,33,Jordan,75,Libya,12,Syria,569,Russia,22,Lebanon,65,Lebanon,197,Lebanon,117,United States,33,Turkey,69,United Kingdom,40,Israel,60,Bulgaria,3,United States,26,Lebanon,147,Saudi Arabia,12,Turkey,110,Turkey,94,Gaza Strip,1,Iraq,47,Israel,20,Sweden,10,Kuwait,11,United Kingdom,17,Iraq,79,Iraq,54,Lebanon,102,Turkey,155,Greece,181,United States,285,United States,1685,United States,1685,
,,Kuwait,1,Kuwait,1,,,Jordan,6,Libya,9,Kuwait,2,United States,13,Turkey,14,Turkey,15,Morocco,6,Thailand,2,Egypt,1,Russia,3,Madagascar,1,Japan,1,Israel,2,United States,22,Italy,1,Bahrain,4,Northern Marchiana Islands,2,Lebanon,58,Mauritania,4,Lebanon,100,Tunisia,14,Lebanon,75,Kuwait,4,Iraq,12,Jordan,35,Jordan,103,Iraq,44,Turkey,60,Iraq,91,Libya,20,Jordan,162,Mali,1,Armenia,4,Turkey,73,Jordan,76,Jordan,178,Turkey,32,Lebanon,189,Thailand,1,Iraq,111,Bulgaria,1,Turkey,164,Egypt,6,Italy,11,Israel,27,Iraq,71,Jordan,111,Turkey,83,Iraq,44,Lebanon,94,Iceland,30,Lebanon,167,Mexico,18,Mexico,18,
,,,,,,,,Lebanon,45,Israel,12,Jordan,5,Eritrea,1,Austria,3,Jordan,4,West Bank,1,Iraq,2,United States,2,Iraq,15,Bulgaria,1,France,7,Nepal,1,Iraq,25,Iraq,85,Turkey,197,Iran,30,Mali,4,Lebanon,36,United Kingdom,7,Switzerland,5,Canada,3,Turkey,89,Libya,13,Russia,33,Turkey,41,Kuwait,7,United States,41,Malta,4,United States,27,Turkey,81,Switzerland,6,Kuwait,26,Algeria,5,Gaza Strip,1,Ukraine,3,Israel,109,Iran,3,United States,5,Israel,24,Jordan,22,Jordan,80,Jordan,59,Malta,4,Turkey,143,Jordan,134,Lebanon,140,United Kingdom,10,Sudan,2,Germany,48,New Zealand,43,Czech Republic,3,Germany,75,Germany,75,
,,,,,,,,Egypt,1,France,6,India,1,Nigeria,1,Israel,2,Israel,3,China,1,New Zealand,3,Democratic Republic of the Congo,1,Lebanon,33,Egypt,5,Venezuela,2,Iraq,3,Israel,5,France,10,Greece,12,Russia,32,Djibouti,1,Libya,5,Iraq,28,Turkey,60,Kuwait,19,Iran,11,Lebanon,33,United States,8,Iran,12,Turkey,62,Switzerland,3,Turkey,86,Russia,15,Australia,2,United Kingdom,26,Lebanon,94,United Kingdom,7,France,13,Libya,3,Qatar,1,United States,36,Egypt,12,France,5,Turkey,223,United States,50,United Kingdom,15,Iraq,79,Germany,5,Egypt,20,Israel,186,United States,16,Denmark,2,Sweden,7,United States,565,Venezuela,1,Norway,6,Norway,6,
,,,,,,,,Gaza Strip,1,Armenia,2,United States,3,Iraq,7,West Bank,1,Libya,3,Jordan,2,Libya,2,Iraq,3,Egypt,6,Somalia,2,United States,10,Russia,2,Russia,1,Tunisia,2,Iran,7,South Korea,2,Iraq,14,Iran,5,Kuwait,12,United States,22,Turkey,59,Italy,2,Northern Marchiana Islands,1,Israel,22,Russia,35,Canada,18,Greece,2,Canada,10,Cuba,2,Israel,82,Yemen,8,Jordan,88,Iraq,29,Turkey,63,Bulgaria,3,Germany,7,Libya,9,Iraq,47,Micronesia,1,Iraq,33,Canada,5,Sweden,1,Lebanon,187,Iraq,36,Iran,2,Tuvalu,1,Uruguay,3,Russia,1,Iran,7,United Kingdom,641,Somalia,2,Turkey,293,Turkey,293,
