13-Apr F,13-Apr-Data-1,13-Apr S,13-Apr-Data-2,13-Apr T,13-Apr-Data-3,13-Apr FO,13-Apr-Data-4,13-May F,13-May-Data-1,13-May S,13-May-Data-2,13-May T,13-May-Data-3,13-May FO,13-May-Data-4,13-Jun F,13-Jun-Data-1,13-Jun S,13-Jun-Data-2,13-Jun T,13-Jun-Data-3,13-Jun FO,13-Jun-Data-4,13-July F,13-July-Data-1,13-July S,13-July-Data-2,13-July T,13-July-Data-3,13-July FO,13-July-Data-4,13-Aug F,13-Aug-Data-1,13-Aug S,13-Aug-Data-2,13-Aug T,13-Aug-Data-3,13-Aug FO,13-Aug-Data-4,13-Sep F,13-Sep-Data-1,13-Sep,,13-Sep,,13-Sep,,13-Oct,,13-Oct,,13-Oct,,13-Oct,,13-Nov,,13-Nov,,13-Nov,,13-Nov,,13-Dec,,13-Dec,,13-Dec,,13-Dec,,14-Jan,,14-Jan,,14-Jan,,14-Jan,,14-Feb,,14-Feb,,14-Feb,,14-Feb,,14-Mar,,14-Mar,,14-Mar,,14-Mar,,14-Apr,,14-Apr,,14-Apr,,14-Apr,,14-May,,14-May,,14-May,,14-May,,14-Jun,,14-Jun,,14-Jun,,14-Jun,,14-Jul,,14-Jul,,14-Jul,,14-Jul,,Auguest 2014,,Auguest 2014,,Auguest 2014,,Auguest 2014,,14-Sep,,14-Sep,,14-Sep,,14-Sep,,14-Oct,,14-Oct,,14-Oct,,14-Oct,,14-Nov,,14-Nov,,14-Nov,,14-Nov,,14-Dec,,14-Dec,,14-Dec,,14-Dec,,15-Jan,,15-Jan,,15-Jan,,15-Jan,,15-Feb,,15-Feb,,15-Feb,,15-Feb,,15-Mar,,15-Mar,,15-Mar,,15-Mar,,15-Apr,,15-Apr,,15-Apr,,15-Apr,,15-May,,15-May,,15-May,,15-May,,15-Jun,,15-Jun,,15-Jun,,15-Jun,,15-Jul,,15-Jul,,15-Jul,,15-Jul,,Auguest 2015,,Auguest 2015,,Auguest 2015,,Auguest 2015,,15-Sep,,15-Sep,,15-Sep,,15-Sep,,15-Oct,,15-Oct,,15-Oct,,15-Oct,,15-Nov,,15-Nov,,15-Nov,,15-Nov,,15-Dec,,15-Dec,,15-Dec,,15-Dec,
Algeria,5,Georgia,2,Germany,3,Egypt,1,Iran,6,Russia,1,Russia,16,Syria,54,Poland,1,Jordan,29,Iraq,10,Jordan,52,Ethiopia,1,Australia,1,Syria,252,United States,23,Syria,103,China,1,Syria,162,Syria,307,Syria,431,Syria,272,Germany,22,Syria,272,Ireland,2,Syria,141,Bulgaria,11,Bulgaria,8,Syria,243,Syria,172,Lebanon,111,Syria,234,Jordan,15,Syria,261,Syria,268,United Arab Emirates,2,Greece,3,Italy,4,Syria,161,Bulgaria,1,Bulgaria,8,Kuwait,1,Jordan,40,Syria,225,China,4,Syria,113,Ireland,1,Syria,258,Syria,261,Israel,7,Greece,1,Turkey,17,Bulgaria,4,France,1,Syria,154,United Kingdom,4,Syria,229,Iraq,16,Syria,222,Syria,164,Syria,135,Syria,221,Turkey,49,Egypt,8,Jordan,4,United Kingdom,3,Iraq,29,Iraq,21,Syria,113,Syria,171,Syria,195,Syria,359,Cyprus,4,Italy,11,Syria,174,Jordan,19,Syria,65,Syria,111,Syria,164,Syria,218,Syria,397,Switzerland,9,Switzerland,5,Syria,113,Syria,194,India,2,Syria,160,Iraq,55,Jordan,19,United Kingdom,11,Syria,115,Syria,156,Syria,153,Turkey,29,Turkey,41,Qatar,2,Turkey,51,Turkey,30,Syria,176,Syria,353,Jordan,14,Syria,107,Jordan,18,Syria,183,Syria,105,Syria,159,United Kingdom,11,Syria,200,Syria,191,Jordan,32,Afghanistan,6,South Africa,1,Syria,143,Israel,12,Syria,198,Greece,122,Iraq,41,Turkey,167,Syria,1253,Syria,1026,Syria,698,Croatia,5,Malaysia,3,United Kingdom,32,Syria,377,Zimbabwe,1,United States,3521,Syria,2772,Syria,1470,Syria,1612,Jordan,57,Syria,911
Syria,44,Syria,63,Russia,14,Jordan,20,Syria,37,Jordan,10,Lebanon,7,Jordan,23,Tunisia,2,Syria,54,Syria,249,Syria,127,Iraq,4,Syria,101,Iraq,9,Jordan,43,Tunisia,2,Syria,85,Israel,13,Jordan,43,Greece,3,Egypt,21,Turkey,31,Lebanon,61,Syria,259,Germany,6,Syria,193,Syria,139,United Kingdom,6,Egypt,37,Iraq,9,Germany,14,Syria,70,Jordan,18,Jordan,23,Jordan,36,Syria,102,Syria,231,Afghanistan,6,Syria,192,Lebanon,35,Israel,12,Syria,177,Lebanon,109,Israel,4,China,1,Syria,147,Iraq,10,Bulgaria,4,Egypt,12,Lebanon,28,Jordan,63,Syria,132,Jordan,29,Lebanon,38,Lebanon,117,Jordan,53,Turkey,26,Jordan,38,Canada,5,Lebanon,41,Lebanon,34,Syria,133,Syria,128,Venezuela,1,Israel,8,Syria,151,Syria,170,Jordan,16,Lebanon,90,Iraq,18,Turkey,256,Syria,179,Syria,163,Jordan,31,Iraq,5,Lebanon,18,Jordan,19,Lebanon,33,Jordan,33,Bulgaria,2,Syria,268,Russia,1,Iraq,22,Egypt,11,Syria,136,Saudi Arabia,1,Japan,6,Syria,151,Syria,163,Jordan,20,Iraq,7,Kuwait,3,Egypt,4,Syria,203,Syria,310,Syria,315,Syria,200,Lebanon,69,Turkey,58,Syria,153,Lebanon,30,Syria,126,China,1,United States,6,Lebanon,33,Syria,405,Turkey,78,United States,24,Syria,242,Jordan,22,Syria,210,Lebanon,15,Gaza Strip,3,Iran,4,Jordan,28,Syria,1333,Syria,2066,Australia,40,United Kingdom,143,Turkey,191,Israel,11,United States,64,Syria,483,United States,25,Syria,550,Syria,4297,United States,1533,Canada,245,Turkey,87,Canada,315,Jordan,23
Jordan,12,Lebanon,12,Syria,52,Syria,63,Tunisia,4,Syria,60,Syria,21,Israel,5,Lebanon,6,Lebanon,18,Jordan,69,Iran,1,Syria,76,Canada,4,Egypt,17,Armenia,2,Lebanon,11,Brunei,1,Iraq,120,Egypt,13,Australia,1,Israel,6,Syria,260,Bulgaria,9,Australia,10,Italy,7,Lebanon,52,Egypt,19,France,6,United Kingdom,3,Syria,271,Colombia,1,Turkey,7,Gaza Strip,3,Lebanon,80,Kuwait,5,Lebanon,23,Israel,9,Bahrain,1,Jordan,32,Germany,2,Jordan,39,Israel,19,United Arab Emirates,1,Syria,103,Hungary,2,Jordan,32,Lebanon,80,Jordan,63,Lebanon,24,Syria,119,Lebanon,26,Jordan,52,Syria,94,Uganda,1,Syria,354,Lebanon,109,Jordan,39,Lebanon,73,Iraq,17,Jordan,28,Egypt,11,Canada,3,Germany,1,Syria,157,Lebanon,84,Kuwait,3,Lebanon,55,Lebanon,32,France,7,United Kingdom,4,United Kingdom,5,Jordan,11,Jordan,14,Egypt,6,Syria,168,Turkey,33,Lebanon,27,Iraq,12,Kuwait,10,Egypt,24,United Kingdom,10,Brazil,1,Jordan,8,United States,8,Canada,8,Canada,11,Lebanon,50,United Arab Emirates,6,Jordan,28,Israel,10,Afghanistan,1,Lebanon,35,Kuwait,3,Egypt,4,Jordan,41,Tuvalu,1,Israel,54,Jordan,15,United States,17,Burundi,1,Turkey,28,Turkey,32,Turkey,23,Lebanon,44,Jordan,30,Turkey,204,Lebanon,22,Lebanon,34,United States,5,Syria,105,Belgium,2,Jordan,36,Syria,146,Turkey,48,Syria,346,Turkey,242,United Kingdom,341,Turkey,218,Greece,29,Iraq,10,Syria,481,Bulgaria,3,Switzerland,1,United Kingdom,33,Pakistan,1,France,680,Cuba,12,France,104,United States,679,Syria,979,United States,200
Tunisia,2,Jordan,25,Lebanon,13,United States,1,Libya,4,Gaza Strip,1,Turkey,6,Iran,11,Syria,23,Russia,13,Libya,5,Israel,7,Jordan,19,Jordan,21,Turkey,67,Canada,1,Jordan,15,Turkey,10,Egypt,7,Israel,12,Hungary,2,Belarus,10,Lebanon,51,Switzerland,3,Iran,16,Israel,11,Jordan,11,United Kingdom,6,Jordan,55,United States,7,Jordan,25,United Kingdom,2,Afghanistan,5,Iran,6,Germany,7,Syria,153,Iraq,10,Turkey,12,Brazil,1,Algeria,12,Morocco,4,Spain,1,Lebanon,26,United States,12,Lebanon,25,Jordan,19,Kuwait,2,Australia,1,Lebanon,80,Syria,118,Jordan,23,France,3,France,2,Egypt,3,Bulgaria,2,Israel,31,Saudi Arabia,16,Syria,127,Turkey,25,Jordan,24,Israel,26,Ukraine,2,United Kingdom,3,Iraq,14,United States,9,Syria,151,Lebanon,35,Turkey,52,Russia,1,United Kingdom,7,Jordan,22,United States,81,Lebanon,56,Iraq,26,Iraq,17,Lebanon,51,Germany,3,Turkey,29,Norway,1,Lebanon,20,Turkey,49,Greece,6,Syria,123,Canada,9,United Kingdom,3,Lebanon,69,Czech Republic,15,United States,9,Iraq,12,Turkey,62,United States,19,Kuwait,4,Turkey,78,Jordan,33,Lebanon,29,Turkey,64,Sweden,6,Austria,1,Turkey,22,Bulgaria,1,Lebanon,24,Libya,8,United States,4,Jordan,13,Germany,7,Germany,3,Azerbaijan,1,Canada,1,Jordan,56,United Kingdom,14,Iraq,5,United States,18,Germany,14,Turkey,29,New Zealand,1,Macedonia,47,Hungary,75,New Zealand,21,Belgium,16,France,28,Greece,40,Germany,25,Turkey,108,Turkey,74,Israel,7,Afghanistan,7,United Kingdom,151,United Kingdom,87,United States,809,Canada,661,United States,281,Canada,331
Azerbaijan,1,United States,1,Jordan,32,Gaza Strip,1,Jordan,12,United States,12,United States,3,Somalia,6,Iraq,4,Afghanistan,1,Egypt,2,Lebanon,35,Lebanon,17,Puerto Rico,2,Jordan,99,Egypt,16,Egypt,2,Lebanon,7,Lebanon,10,Iraq,83,United States,60,Italy,12,Italy,15,Iraq,12,China,1,Jordan,60,Libya,4,Lebanon,35,Lebanon,16,France,5,Greece,4,Jordan,34,Denmark,2,United States,7,Bulgaria,7,Germany,1,United Kingdom,5,Lebanon,42,Switzerland,6,Israel,20,Syria,163,Syria,147,Turkey,24,Jordan,9,Bulgaria,2,Northern Mariana Islands,1,Lebanon,30,Cyprus,2,West Bank,2,Jordan,39,Australia,4,Syria,166,Lebanon,42,Azerbaijan,2,Israel,17,Jordan,161,Iran,5,Italy,2,Israel,5,Lebanon,24,Turkey,6,Iraq,10,Israel,20,Kuwait,4,Lebanon,123,France,1,Turkey,33,Jordan,34,Turkey,16,Sweden,3,Lebanon,62,Lebanon,74,France,8,Lebanon,47,Lebanon,53,United States,13,Israel,5,Kuwait,6,Australia,1,Israel,6,United Kingdom,14,Turkmenistan,1,Greece,8,Lebanon,19,Turkey,38,Jordan,37,Jordan,37,Syria,167,Japan,3,Lebanon,9,Turkey,18,United States,13,United Kingdom,11,Iraq,19,Kuwait,12,Ireland,1,Egypt,11,Kuwait,3,Iraq,17,United Kingdom,7,Iraq,23,Jordan,32,Austria,3,Israel,12,Malta,1,Turkey,39,Iraq,22,United States,7,Turkey,47,Iraq,11,Lebanon,15,Turkey,98,Israel,7,Greece,15,Lebanon,26,United States,11,Germany,142,United States,267,United Kingdom,159,Jordan,82,United States,156,Canada,46,Canada,44,Belgium,2,Canada,69,Turkey,136,Canada,273,Canada,607,Mexico,8,Austria,2,Germany,18,Greece,22
Turkey,8,Turkey,3,France,3,Iraq,2,Russia,4,Turkey,42,Azerbaijan,11,Gaza Strip,2,Jordan,15,Germany,9,Israel,14,Sudan,1,United States,6,United States,8,Israel,15,Syria,192,Turkey,6,Jordan,9,Gibraltar,1,Lebanon,44,Iraq,40,Turkey,28,Iraq,14,Italy,2,Bulgaria,18,Lebanon,48,Iran,4,Israel,11,Turkey,37,Jordan,42,Switzerland,2,Lebanon,63,Lebanon,9,Czech Republic,1,Iraq,11,Lebanon,32,Armenia,2,Iraq,24,Egypt,5,United Kingdom,40,Iraq,9,Bulgaria,13,United States,7,Turkey,8,Jordan,9,Turkey,12,United States,4,United States,7,United Arab Emirates,2,United Arab Emirates,2,Germany,4,United States,6,Egypt,7,Iraq,22,Belgium,1,Uruguay,1,United States,15,Lebanon,33,Kuwait,12,Russia,3,United States,5,Jordan,46,France,1,Lebanon,18,Turkey,19,United States,1,United States,9,Israel,10,Iraq,17,Turkey,16,Turkey,86,Jordan,27,United States,20,United States,33,Morocco,1,Turkey,61,Australia,1,Israel,7,United States,16,Oceans,7,Italy,6,Turkey,31,Israel,12,United Kingdom,4,Cyprus,1,Pakistan,5,Turkey,15,Turkey,49,Kuwait,7,Brazil,1,Australia,1,Jordan,22,Ethiopia,1,Syria,175,Sweden,5,Lebanon,62,United States,13,Jordan,6,Germany,4,Israel,9,Turkey,20,United Kingdom,3,Hungary,2,Lebanon,51,Turkey,28,Kuwait,19,Jordan,18,Greece,2,Iraq,9,Turkey,65,United States,8,Lebanon,42,Sweden,2,Lebanon,23,Japan,1,Turkey,44,Greece,84,Canada,304,Lebanon,114,Croatia,11,Egypt,3,United States,53,Syria,428,Hungary,6,Lebanon,36,United States,78,Iran,15,Turkey,228,Germany,26,Germany,31,Russia,8,Turkey,64
United States,2,United Arab Emirates,6,Somalia,13,Israel,4,China,5,Chad,3,Jordan,7,Lebanon,8,Turkey,7,Switzerland,1,Mali,1,Saudi Arabia,1,Kuwait,1,Turkey,6,Lebanon,49,Israel,53,Libya,4,Iraq,3,Italy,3,Canada,11,Lebanon,71,Jordan,39,United States,32,Jordan,37,Iraq,7,Turkey,33,United Kingdom,10,Italy,5,Australia,1,Lebanon,33,Iran,1,Turkey,34,Switzerland,1,Algeria,1,Egypt,21,South Sudan,1,Turkey,8,United Kingdom,12,Kuwait,21,Lebanon,16,United States,18,Egypt,6,United Kingdom,4,Iran,2,Azerbaijan,1,Iraq,12,Iraq,3,France,5,United States,9,France,2,United States,5,Australia,1,Israel,38,Turkey,17,Jordan,57,Argentina,1,Russia,1,Saudi Arabia,2,United States,10,Kuwait,11,Thailand,1,Australia,1,Lebanon,31,Iran,2,Kuwait,1,Iraq,35,Turkmenistan,1,Canada,1,Uruguay,2,Iraq,13,United States,10,France,31,Iraq,17,United Kingdom,4,Turkey,72,Germany,43,Egypt,2,Iraq,26,Turkey,71,Turkey,110,Jordan,57,Norway,3,Kuwait,5,United States,15,Italy,24,Egypt,7,Kuwait,2,Jordan,25,Lebanon,21,Israel,11,Lebanon,22,Lebanon,30,Iraq,5,Lebanon,34,Norway,5,Bangladesh,1,Israel,91,Norway,5,Israel,35,Belgium,1,United Kingdom,5,Israel,4,Germany,13,Iraq,11,Greece,5,United States,13,Germany,4,Bulgaria,2,Sudan,1,Lebanon,26,Turkey,27,Gaza Strip,6,Iran,1,Jordan,36,Russia,3,Serbia,13,Iceland,37,Germany,156,Canada,93,United States,167,Germany,29,Turkey,103,Greece,21,Iraq,43,Antigua and Barbuda,2,United Kingdom,126,Germany,75,France,244,Norway,1,United Arab Emirates,5,Iraq,20,Afghanistan,5
Iraq,1,Egypt,2,Iran,3,Lebanon,4,United States,1,Mauritania,1,South Korea,6,Turkey,1,Iran,2,Turkey,14,Lebanon,72,Russia,3,Turkey,13,Iraq,6,Gaza Strip,1,Lebanon,59,United States,7,Japan,1,Russia,20,Australia,1,Italy,15,Lebanon,49,Jordan,26,India,2,Jordan,12,Iran,13,West Bank,4,Kuwait,10,Kuwait,9,Sweden,2,France,5,Bahrain,1,United Kingdom,2,Switzerland,2,United States,12,Turkey,11,Kuwait,5,Jordan,37,France,3,West Bank,2,Qatar,10,Iran,4,Egypt,2,Qatar,3,Turkey,4,United States,3,Germany,4,Egypt,2,Ukraine,2,Iraq,4,Iraq,5,Philippines,2,Qatar,3,Israel,5,Norway,2,West Bank,4,Libya,1,Uruguay,3,Iraq,24,Turkey,4,Egypt,5,Sudan,1,Jordan,16,Japan,2,Israel,1,Jordan,22,Israel,6,United States,34,United States,5,Israel,2,China,2,Egypt,6,Turkey,48,Turkey,73,Germany,6,Afghanistan,1,United Kingdom,3,United Kingdom,8,Bulgaria,4,United States,27,Lebanon,66,Jordan,18,Egypt,3,Bulgaria,2,Malta,3,Gaza Strip,5,Pakistan,2,Kuwait,11,Turkey,97,Pakistan,2,Iraq,4,Greece,6,Jordan,31,United States,12,Jordan,22,Israel,24,Azerbaijan,8,United Kingdom,6,Kuwait,3,Qatar,5,United States,7,Switzerland,2,Lebanon,58,Egypt,2,Eritrea,14,Italy,3,Norway,1,Somalia,1,United Kingdom,1,Belgium,14,Canada,6,Israel,11,Iraq,5,Libya,1,United States,6,Hungary,19,Eritrea,13,France,36,Sweden,11,Brazil,11,Somalia,2,Malaysia,8,Vietnam,3,Oceans,8,Jordan,40,Greece,17,Lebanon,91,Indonesia,6,Turkey,99,Armenia,7,Turkey,87,Lebanon,56
Libya,5,Iraq,18,Afghanistan,1,Iran,2,Egypt,2,Morocco,2,Israel,8,Russia,14,Israel,4,United Kingdom,2,United States,9,Turkey,8,Russia,4,Lebanon,32,Iran,3,United Kingdom,7,Greece,2,Brazil,1,Jordan,19,Ireland,4,Malta,4,Bulgaria,16,Albania,2,Russia,11,Japan,3,Bulgaria,8,Egypt,48,Russia,2,Israel,21,Pakistan,2,Kuwait,4,Egypt,57,Yemen,5,Turkey,20,Turkey,61,Bulgaria,8,Sweden,1,United States,13,Finland,4,Egypt,23,Israel,25,Turkey,31,Russia,1,Australia,7,United States,5,Canada,1,Morocco,1,Israel,21,Turkey,36,China,1,Israel,1,Egypt,6,Turkey,8,Saudi Arabia,1,France,1,Iraq,7,Israel,8,United States,7,Norway,1,Mauritania,1,Canada,3,Yemen,2,Australia,2,Jordan,25,Micronesia,2,Turkey,21,Jordan,9,Egypt,1,Italy,5,Jordan,17,Italy,1,China,1,Israel,4,Cyprus,4,Libya,14,United Kingdom,2,Sweden,1,Spain,1,Canada,13,Russia,2,Iraq,12,Germany,10,Lebanon,22,Taiwan,1,Sweden,5,Israel,19,Gaza Strip,1,West Bank,1,Qatar,7,United States,136,Cuba,1,Egypt,2,Egypt,11,Taiwan,4,Lithuania,1,China,1,Kuwait,10,Canada,1,United States,9,Lebanon,43,Norway,4,Greece,1,Somalia,1,Sweden,6,Jordan,15,Sudan,6,Turkmenistan,2,Jordan,14,Denmark,1,Kuwait,2,Germany,3,Jordan,23,United States,6,Italy,1,Jordan,17,China,10,Macedonia,5,Lebanon,258,Germany,115,Canada,75,Russia,13,Iceland,1,United Kingdom,50,Cyprus,6,Australia,12,Lebanon,35,Iraq,160,Mexico,13,Jordan,116,France,81,Vietnam,3,France,22
Northern Mariana Islands,2,Tunisia,2,United States,4,Turkey,9,Lebanon,5,Lebanon,1,West Bank,2,Australia,2,Russia,4,Egypt,1,Turkey,17,Vietnam,1,Canada,17,United Kingdom,7,United Arab Emirates,3,Iraq,2,Iraq,5,Gaza Strip,3,Canada,1,Russia,20,Qatar,3,Libya,3,Switzerland,5,United States,32,Lebanon,37,France,4,Malta,2,Turkey,17,United States,11,Italy,2,West Bank,5,United States,9,Germany,13,Lebanon,104,India,1,Greece,6,Jordan,16,Cuba,1,United Kingdom,15,Sweden,2,Turkey,11,United Kingdom,2,Germany,2,Algeria,1,Poland,2,Czech Republic,4,Turkey,11,Russia,13,Qatar,2,Germany,2,Canada,1,Italy,1,Iran,2,United States,3,Uruguay,1,Georgia,1,Turkey,7,Vietnam,1,United Kingdom,5,Nauru,1,Italy,4,Germany,2,Afghanistan,4,Italy,1,Iraq,4,Armenia,2,Iran,10,Saudi Arabia,1,Egypt,2,New Zealand,1,Switzerland,1,Russia,3,Canada,1,Denmark,1,United States,6,Rwanda,1,Estonia,2,Netherlands,2,United Kingdom,3,Cyprus,3,Australia,3,Lebanon,64,Libya,1,Germany,2,Lebanon,100,Norway,2,Israel,2,Armenia,1,Sweden,1,Australia,1,Japan,1,Japan,6,Iran,1,Italy,1,Italy,4,Germany,2,Lebanon,26,United States,4,Yemen,1,Italy,4,Uruguay,3,Australia,1,Norway,2,Malaysia,1,Israel,3,Iraq,4,Israel,31,Iraq,9,Greece,1,Greece,6,Libya,1,Sweden,8,Greece,13,Egypt,4,Greece,77,Iraq,11,New Zealand,38,Uruguay,36,United States,205,Israel,50,Hungary,6,Lebanon,35,Israel,24,Jordan,34,France,8,Jordan,40,Jordan,72,Iraq,119,Greece,16,United Kingdom,59,Armenia,2,Myanmar,3
