Event_COLOR_CODE,Actor1Geo_CountryCode,Actor2Geo_CountryCode,ActionGeo_CountryCode,Event Code,Reason,AC1_lat,AC1_lon,AC2_lat,AC2_lon,AC_lat,AC_lon,Source Url,Source City,Destination City,Keyword,Dubplicate Count
"5f2fc4
",UK,UK,UK,0231,"Appeal for economic aid
",52.6649,-1.03489,52.6649,-1.03489,52.6649,-1.03489,http://www.leicestermercury.co.uk/Songs-help-Syria-refugees/story-20386142-detail/story.html,"Leicestershire, Leicestershire, United Kingdom","Leicestershire, Leicestershire, United Kingdom",,
"17534d 
",GR,GR,GR,075,"Grant asylum
",39,22,39,22,39,22,http://greece.greekreporter.com/2014/01/01/syrian-refugees-having-a-hard-time-in-greece/,Greece,Greece,,
"5f2fc4
",UK,SY,SY,020,"Appeal, not specified below
",51.5,-0.116667,35,38,35,38,http://www.expressandstar.com/comment/peter-rhodes/2014/01/01/time-to-do-the-decent-thing/,"London, London, City of, United Kingdom",Syria,,
"571d14
",UK,SY,SY,051,"Praise or endorse
",51.5,-0.116667,35,38,35,38,http://www.expressandstar.com/comment/peter-rhodes/2014/01/01/time-to-do-the-decent-thing/,"London, London, City of, United Kingdom",Syria,,
"94c42f
",UK,SY,SY,120,"Reject, not specified below
",51.5,-0.116667,35,38,35,38,http://www.expressandstar.com/comment/peter-rhodes/2014/01/01/time-to-do-the-decent-thing/,"London, London, City of, United Kingdom",Syria,,
"bf5e75
",LE,SY,LE,195,"Employ aerial weapons
",33.8719,35.5097,35,38,33.8719,35.5097,http://www.aa.com.tr/en/news/269492--refugee-killed-3-injured-in-syrian-air-strike-on-lebanese-border-town,"Beirut, Beyrouth, Lebanon",Syria,,
"bf5e75
",LE,SY,SY,195,"Employ aerial weapons
",33.8719,35.5097,35,38,35,38,http://www.aa.com.tr/en/news/269492--refugee-killed-3-injured-in-syrian-air-strike-on-lebanese-border-town,"Beirut, Beyrouth, Lebanon",Syria,,
"571d14
",LE,SY,SY,051,"Praise or endorse
",34.1794,36.4208,35,38,35,38,http://www.islamweb.net/emainpage/index.php?page=articles&id=193171&c=gNGg5B4Q36maSD0mZx4gY6cLM1-SWLiSlMuM1nsNKv0&mkt=en-us,"Arsal, Mohafazat Baalbek-Hermel, Lebanon",Syria,,
"ff4800
",SY,SY,SY,013,"Make optimistic comment
",35,38,35,38,35,38,http://www.carbonated.tv/news/syrians-hoping-war-ends-and-they-find-peace-in-2014,Syria,Syria,,
"c1f827
",SY,SY,SY,080,"Yield, not specified below 
",35,38,35,38,35,38,http://news.gnom.es/news/syrias-children-suffer-and-the-world-just-shrugs,Syria,Syria,,
"bf5e75
",SY,IS,SY,190,"Use conventional military force, not specified below
",36.2028,37.1586,31.5,34.75,36.2028,37.1586,http://www.allvoices.com/contributed-news/16256501-syria-death-toll-exceeds-130000-people,"Aleppo, ?alab, Syria",Israel,,
"17534d 
",IT,IT,IT,075,"Grant asylum
",45.4667,9.2,45.4667,9.2,45.4667,9.2,http://www.unhcr.org/52c3e69c9.html,"Milan, Lombardia, Italy","Milan, Lombardia, Italy",,
"17534d 
",SY,IT,IT,075,"Grant asylum
",36.2028,37.1586,45.4667,9.2,45.4667,9.2,http://www.unhcr.org/52c3e69c9.html,"Aleppo, ?alab, Syria","Milan, Lombardia, Italy",,
"17534d 
",SY,SY,SY,075,"Grant asylum
",35,38,35,38,35,38,http://www.onislam.net/english/news/middle-east/467639-uk-muslims-send-blankets-to-syrians.html,Syria,Syria,,
"bf5e75
",LE,LE,LE,195,"Employ aerial weapons
",34.1794,36.4208,34.1794,36.4208,34.1794,36.4208,http://www.worldbulletin.net/?aType=haber&ArticleID=126064,"Arsal, Mohafazat Baalbek-Hermel, Lebanon","Arsal, Mohafazat Baalbek-Hermel, Lebanon",,
"bf5e75
",SY,LE,LE,195,"Employ aerial weapons
",35,38,34.1794,36.4208,34.1794,36.4208,http://www.aa.com.tr/en/news/269492--refugee-killed-3-injured-in-syrian-air-strike-on-lebanese-border-town,Syria,"Arsal, Mohafazat Baalbek-Hermel, Lebanon",,
"17534d 
",IZ,IZ,IZ,071,"Provide economic aid
",36.5933,42.1631,36.5933,42.1631,36.5933,42.1631,http://www.ekurd.net/mismas/articles/misc2014/1/state7623.htm,"Shafaq, NinawáZ, Iraq","Shafaq, NinawáZ, Iraq",,
"17534d 
",SY,SY,SY,071,"Provide economic aid
",35,38,35,38,35,38,http://www.ekurd.net/mismas/articles/misc2014/1/state7623.htm,Syria,Syria,,
"c1f827
",SY,SY,SY,0841,"Return, release person(s)
",36.2028,37.1586,36.2028,37.1586,36.2028,37.1586,http://www.zawya.com/middle-east/video/VIDTR_31122013234047095/,"Aleppo, ?alab, Syria","Aleppo, ?alab, Syria",,
"94c42f
",SY,UK,UK,120,"Reject, not specified below
",35,38,51.5,-0.116667,51.5,-0.116667,http://www.expressandstar.com/comment/peter-rhodes/2014/01/01/time-to-do-the-decent-thing/,Syria,"London, London, City of, United Kingdom",,
"94c42f
",SY,UK,SY,120,"Reject, not specified below
",35,38,51.5,-0.116667,35,38,http://www.expressandstar.com/comment/peter-rhodes/2014/01/01/time-to-do-the-decent-thing/,Syria,"London, London, City of, United Kingdom",,
"ff4800
",SY,SY,SY,010,"Make statement, not specified below
",36.2028,37.1586,36.2028,37.1586,36.2028,37.1586,http://www.unhcr.org/52c3e69c9.html,"Aleppo, ?alab, Syria","Aleppo, ?alab, Syria",,
"5f2fc4
",SY,SY,SY,020,"Appeal, not specified below
",35,38,35,38,35,38,http://www.expressandstar.com/comment/peter-rhodes/2014/01/01/time-to-do-the-decent-thing/,Syria,Syria,,
"571d14
",SY,SY,SY,051,"Praise or endorse
",35,38,35,38,35,38,http://www.expressandstar.com/comment/peter-rhodes/2014/01/01/time-to-do-the-decent-thing/,Syria,Syria,,
"c1f827
",TU,SY,TU,080,"Yield, not specified below 
",37.7129,38.9432,35,38,37.7129,38.9432,http://www.todayszaman.com//news-335496-turkey-building-wall-in-karkamis-on-syria-border.html,"Nusaybin, Sanliurfa, Turkey",Syria,,
"bf5e75
",LE,SY,SY,192,"Occupy territory
",33.8333,36,36.2028,37.1586,36.2028,37.1586,http://www.unhcr.org/52c3e69c9.html,"Bekaa Valley, Béa, Lebanon","Aleppo, ?alab, Syria",,
"bf5e75
",TU,SY,SY,192,"Occupy territory
",39,35,36.2028,37.1586,36.2028,37.1586,http://www.unhcr.org/52c3e69c9.html,Turkey,"Aleppo, ?alab, Syria",,
"bf5e75
",TU,SY,TU,192,"Occupy territory
",39,35,36.2028,37.1586,39,35,http://www.unhcr.org/52c3e69c9.html,Turkey,"Aleppo, ?alab, Syria",,
"571d14
",SY,KU,KU,051,"Praise or endorse
",35,38,29.3375,47.6581,29.3375,47.6581,http://reliefweb.int/report/syrian-arab-republic/uk-allocates-16-million-support-healthcare-services-syrian-refugees,Syria,Kuwait,,
"c1f827
",SY,KU,KU,084,"Return, release, not specified below
",35,38,29.3375,47.6581,29.3375,47.6581,https://www.gov.uk/government/news/uk-provides-essential-healthcare-for-syrian-refugees,Syria,Kuwait,,
"571d21
",IZ,IS,SY,062,"Cooperate militarily
",31.7133,44.5058,31.5,34.75,35,38,http://www.albawaba.com/news/lebanon-iran-544572,"Al Majid, An Najaf, Iraq",Israel,,
"bf5e75
",LE,SY,LE,043,"Host a visit
",33.6667,35.8333,35,38,33.6667,35.8333,http://www.kuna.net.kw/ArticleDetails.aspx?id=2353414&Language=en,"Bekaa, Béa, Lebanon",Syria,,
